Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
132722-62,06-08-2023,For Sale,Apartment,Daire,3 + 1,150 m2,3. Floor,13 at Age,Combi Boiler,7 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,100 TRY,No,"North, South, East",7.000 TRY,Gas,Yes,Kayseri,Kocasinan,Fevzi Çakmak,"
                    2.095.000 TRY
                  "
128489-258,31-07-2023,For Sale,Apartment,,4 + 1,200 m2,2. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"South, West",,,,Kayseri,Talas,Mevlana,"
                    2.550.000 TRY
                  "
132875-395,31-07-2023,For Sale,Apartment,,3 + 1,180 m2,Middle Floor,10 at Age,Central Heating (Share Meter),13 Storey,Available,Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    1.795.000 TRY
                  "
135461-785,01-08-2023,For Sale,Apartment,Daire,3 + 1,135 m2,Raised Ground Floor,3 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,150 TRY,No,"South, East, West",6.000 TRY,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.600.000 TRY
                  "
124974-160,06-08-2023,For Sale,Apartment,,3 + 1,155 m2,6. Floor,5 at Age,Central,12 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,,No,"North, South, West",,,,Kayseri,Kocasinan,Zümrüt,"
                    1.500.000 TRY
                  "
132355-205,27-07-2023,For Sale,Apartment,Daire,2 + 1,98 m2,Top Floor,New Property,Combi Boiler,3 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,South,8.000 TRY,Gas,Yes,Kayseri,Melikgazi,Keykubat,"
                    1.399.000 TRY
                  "
128470-526,05-08-2023,For Sale,Apartment,,2 + 1,130 m2,2. Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,East,,,,Kayseri,Melikgazi,Gültepe,"
                    2.700.000 TRY
                  "
134967-203,01-08-2023,For Sale,Apartment,,3 + 1,155 m2,1. Floor,21 at Age,Central,9 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, South",,,,Kayseri,Kocasinan,Sahabiye,"
                    1.850.000 TRY
                  "
135860-16,22-07-2023,For Sale,Detached House,,3 + 1,170 m2,,17 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,,Land,1 TRY,,"North, South, East",4.000 TRY,,Yes,Kayseri,Yahyalı,Camikebir,"
                    2.250.000 TRY
                  "
131846-751,02-08-2023,For Sale,Apartment,,3 + 1,175 m2,10. Floor,New Property,Central Heating (Share Meter),12 Storey,Not Available,Not Furnished,2,,,Empty,Condominium,1 TRY,No,"South, West",,,,Kayseri,Melikgazi,Şirintepe,"
                    1.400.000 TRY
                  "
124546-271,28-07-2023,For Sale,Detached House,,2 + 1,676 m2,,11 at Age,Heating Stove,2 Storey,Available,Furnished,1,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Kocasinan,Bayramhacı,"
                    990.000 TRY
                  "
124591-131,01-08-2023,For Sale,Apartment,Daire,3 + 1,135 m2,Middle Floor,8 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Floor Easement,,No,"South, East",,Gas,Yes,Kayseri,Develi,Yeni,"
                    1.200.000 TRY
                  "
133377-150,04-08-2023,For Sale,Villa,Tripleks,6 + 1,400 m2,,15 at Age,Combi Boiler,3 Storey,Available,Not Furnished,3,Masonry,Second Hand,Empty,Condominium,1 TRY,No,"North, South, East, West",26.500 TRY,Gas,Yes,Kayseri,Talas,Harman,"
                    8.750.000 TRY
                  "
131846-749,02-08-2023,For Sale,Apartment,,3 + 1,180 m2,9. Floor,1 at Age,Central,14 Storey,Not Available,Not Furnished,2,,,Owner,Condominium,,No,"South, East",,,,Kayseri,Kocasinan,Ziyagökalp,"
                    2.500.000 TRY
                  "
4594-374,06-08-2023,For Sale,Apartment,Daire,2 + 1,108 m2,7. Floor,New Property,Central,14 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, East",,Gas,Yes,Kayseri,Talas,Bahçelievler,"
                    2.685.000 TRY
                  "
120399-130,06-08-2023,For Sale,Apartment,Daire,3 + 1,115 m2,Underground 2,New Property,Central Heating (Share Meter),5 Storey,Available,Not Furnished,1,,0,Empty,Condominium,,No,East,5.500 TRY,Gas,Yes,Kayseri,Melikgazi,Tavlusun,"
                    1.540.000 TRY
                  "
133669-208,31-07-2023,For Sale,Apartment,Daire,3 + 1,1.552 m2,13. Floor,10 at Age,Combi Boiler,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,450 TRY,No,South,6.000 TRY,Gas,Yes,Kayseri,Kocasinan,Mithatpaşa,"
                    1.390.000 TRY
                  "
132998-83,26-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,8. Floor,5 at Age,Central,10 Storey,Available,Not Furnished,1,,,Tenanted,,300 TRY,No,,,,Yes,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    2.850.000 TRY
                  "
125486-1418,03-08-2023,For Sale,Villa,,7 + 1,1.143 m2,Garden Floor,4 at Age,Underfloor Heating,3 Storey,Available,Not Furnished,3,,,Owner,Condominium,,No,"North, South, East, West",,,,Kayseri,Melikgazi,Erenköy,"
                    21.500.000 TRY
                  "
116396-190,04-08-2023,For Sale,Apartment,Daire,3 + 1,200 m2,10. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East",,Gas,Yes,Kayseri,Kocasinan,Zümrüt,"
                    4.376.000 TRY
                  "
129317-142,10-07-2023,For Sale,Apartment,,4 + 1,190 m2,14. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,,,,,,,,,Kayseri,Kocasinan,Beyazşehir,"
                    3.100.000 TRY
                  "
129256-70,29-07-2023,For Sale,Apartment,,3 + 1,135 m2,2. Floor,30 at Age,Combi Boiler,2 Storey,Available,,1,,,,,,,,,,,Kayseri,Kocasinan,Kayabaşı,"
                    875.000 TRY
                  "
121516-202,02-08-2023,For Sale,Apartment,,4 + 1,190 m2,3. Floor,New Property,Central Heating (Share Meter),7 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South",,,,Kayseri,Melikgazi,Esentepe,"
                    3.000.000 TRY
                  "
132363-539,02-08-2023,For Sale,Apartment,,3 + 1,170 m2,1. Floor,2 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"South, East",,,,Kayseri,Melikgazi,Kazımkarabekir,"
                    1.950.000 TRY
                  "
124673-165,03-08-2023,For Sale,Detached House,,5 + 3,268 m2,Garden Floor,31 at Age,Heating Stove,1 Storey,Not Available,Not Furnished,3,,,Tenanted,,,No,"North, South, East, West",,,,Kayseri,Kocasinan,Talatpaşa,"
                    1.478.000 TRY
                  "
137804-11,04-08-2023,For Sale,Apartment,Daire,3 + 1,160 m2,Middle Floor,5 at Age,Central Heating (Share Meter),11 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Tenanted,,,No,"South, East",,Gas,Yes,Kayseri,Melikgazi,Battalgazi,"
                    1.850.000 TRY
                  "
137456-38,05-08-2023,For Sale,Apartment,,3 + 1,175 m2,9. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,,,,Condominium,,,,,,,Kayseri,Kocasinan,Yavuzlar,"
                    2.000.000 TRY
                  "
126474-443,03-08-2023,For Sale,Apartment,Daire,3 + 1,160 m2,4. Floor,30 at Age,Combi Boiler,5 Storey,Available,,1,,,Empty,Condominium,,No,"North, West",,Gas,Yes,Kayseri,Talas,Harman,"
                    1.590.000 TRY
                  "
116875-412,04-08-2023,For Sale,Apartment,Daire,2 + 1,120 m2,3. Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, West",2.000 TRY,Gas,Yes,Kayseri,Develi,İbrahimağa,"
                    1.800.000 TRY
                  "
135143-88,10-07-2023,For Sale,Apartment,Daire,4 + 1,187 m2,3. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, East",12.500 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    3.650.000 TRY
                  "
126178-290,20-07-2023,For Sale,Apartment,Daire,2 + 1,115 m2,4. Floor,New Property,Underfloor Heating,5 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,,No,,,Gas,Yes,Kayseri,Kocasinan,Ertuğrul Gazi,"
                    1.280.000 TRY
                  "
124974-162,14-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,6. Floor,New Property,Central Heating (Share Meter),7 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"South, West",,Gas,Yes,Kayseri,Kocasinan,Şeker,"
                    1.675.000 TRY
                  "
131402-200,27-07-2023,For Sale,Cooperative,,3 + 1,145 m2,6. Floor,New Property,Central Heating (Share Meter),12 Storey,Not Available,,2,,,Empty,,,No,,,,,Kayseri,Kocasinan,Ahi Evran,"
                    415.000 TRY
                  "
0-41103162,02-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,5. Floor,4 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,1,Masonry,Second Hand,Owner,Floor Easement,500 TRY,No,"North, South, East",7.000 TRY,Gas,,Kayseri,Melikgazi,Yeniköy,"
                    2.425.000 TRY
                  "
135461-770,26-07-2023,For Sale,Apartment,Daire,3 + 1,135 m2,3. Floor,9 at Age,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Unspecified,Condominium,150 TRY,No,"North, East, West",,Gas,Yes,Kayseri,Develi,İbrahimağa,"
                    2.050.000 TRY
                  "
134309-191,28-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,1. Floor,6 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Kocasinan,Yakut,"
                    2.145.000 TRY
                  "
134967-186,02-08-2023,For Sale,Apartment,,2 + 1,135 m2,4. Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Talas,Mevlana,"
                    1.575.000 TRY
                  "
136536-14,18-07-2023,For Sale,Apartment,Daire,3 + 1,180 m2,9. Floor,8 at Age,Central,14 Storey,Available,,2,Reinforced Concrete,Second Hand,Owner,,,No,"North, East",,Gas,Yes,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    1.700.000 TRY
                  "
138709-14,28-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,7. Floor,6 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Wooden,Second Hand,Owner,,600 TRY,No,"North, South",,Gas,Yes,Kayseri,Kocasinan,Hoca Ahmet Yesevi,"
                    2.300.000 TRY
                  "
134958-356,09-07-2023,For Sale,Apartment,Daire,3 + 1,145 m2,7. Floor,10 at Age,Central,9 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,450 TRY,No,"North, East",8.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    1.390.000 TRY
                  "
123667-137,29-07-2023,For Sale,Apartment,,2 + 1,85 m2,2. Floor,New Property,Central Heating (Share Meter),10 Storey,Available,Not Furnished,1,,,Empty,Condominium,200 TRY,No,South,,,,Kayseri,Kocasinan,Şeker,"
                    1.400.000 TRY
                  "
126178-302,28-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,4. Floor,New Property,Central Heating (Share Meter),7 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Kocasinan,Yıldızevler,"
                    2.400.000 TRY
                  "
134326-33,09-06-2023,For Sale,Apartment,Daire,3 + 1,101 m2,Ground Floor,10 at Age,Combi Boiler,11 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,,No,"North, East",4.000 TRY,Gas,Yes,Kayseri,Melikgazi,Anafartalar,"
                    815.000 TRY
                  "
113524-998,19-07-2023,For Sale,Apartment,,3 + 1,175 m2,6. Floor,5 at Age,Central,11 Storey,Available,Not Furnished,2,,,Owner,Condominium,300 TRY,No,"North, South, East",,,,Kayseri,Melikgazi,Gökkent,"
                    1.485.000 TRY
                  "
125140-1075,04-08-2023,For Sale,Apartment,Daire,3 + 1,155 m2,10. Floor,12 at Age,Central,14 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"South, West",7.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.450.000 TRY
                  "
84609-3032,29-07-2023,For Sale,Apartment,Daire,3 + 1,160 m2,1. Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,2,,0,Empty,Floor Easement,,,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Hürriyet,"
                    1.700.000 TRY
                  "
128470-472,04-08-2023,For Sale,Apartment,,3 + 1,175 m2,4. Floor,5 at Age,Combi Boiler,6 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"East, West",,,,Kayseri,Talas,Kiçiköy,"
                    1.750.000 TRY
                  "
128830-129,10-07-2023,For Sale,Apartment,,4 + 1,185 m2,2. Floor,11 at Age,Central,14 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,250 TRY,No,"North, South, East",,,,Kayseri,Talas,Bahçelievler,"
                    1.800.000 TRY
                  "
133669-189,20-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,3. Floor,New Property,Central,12 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"South, East",,Gas,Yes,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    1.750.000 TRY
                  "
131390-130,02-08-2023,For Sale,Villa,Dubleks,5 + 1,296 m2,,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,3,,0,Empty,,,No,"North, South, East, West",,,,Kayseri,Talas,Tablakaya,"
                    18.000.000 TRY
                  "
124546-402,13-07-2023,For Sale,Apartment,,4 + 1,180 m2,6. Floor,New Property,Central,14 Storey,Available,Not Furnished,1,,,Empty,Floor Easement,,No,"North, South, East, West",,,,Kayseri,Kocasinan,Yunusemre,"
                    2.200.000 TRY
                  "
128489-224,24-07-2023,For Sale,Apartment,,3 + 1,180 m2,9. Floor,1 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"South, West",,,,Kayseri,Talas,Mevlana,"
                    2.400.000 TRY
                  "
66151-424,05-08-2023,For Sale,Apartment,Daire,3 + 1,175 m2,8. Floor,New Property,Combi Boiler,12 Storey,Not Available,Not Furnished,1,Reinforced Concrete,Under Construction,Empty,Floor Easement,,No,"North, South, East",4.000 TRY,Gas,Yes,Kayseri,Kocasinan,Kocasinan,"
                    485.000 TRY
                  "
0-41193763,30-07-2023,For Sale,Apartment,Daire,3 + 1,170 m2,Middle Floor,2 at Age,Central Heating (Share Meter),10 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,,300 TRY,No,"North, South, East, West",2.350.000 TRY,Gas,,Kayseri,Melikgazi,Altınoluk,"
                    2.350.000 TRY
                  "
135143-34,09-06-2023,For Sale,Villa,Tripleks,6 + 2,450 m2,,10 at Age,Combi Boiler,3 Storey,Available,Not Furnished,4,Reinforced Concrete,,Owner,Condominium,,No,"North, South, East, West",15.000 TRY,Gas,Yes,Kayseri,Melikgazi,Kıranardı,"
                    11.500.000 TRY
                  "
130207-101,05-07-2023,For Sale,Apartment,Daire,3 + 1,140 m2,Top Floor,New Property,Combi Boiler,4 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,,3.000 TRY,Gas,Yes,Kayseri,Develi,Harman,"
                    1.450.000 TRY
                  "
124543-298,05-08-2023,For Sale,Apartment,Daire,2 + 1,65 m2,3. Floor,10 at Age,Central,4 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Unspecified,Condominium,250 TRY,No,"North, West",3.500 TRY,Gas,Yes,Kayseri,Melikgazi,Demokrasi,"
                    880.000 TRY
                  "
132875-386,29-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,5. Floor,New Property,Central Heating (Share Meter),10 Storey,Available,Not Furnished,2,,,,,,No,,,,,Kayseri,Melikgazi,Gesi Fatih,"
                    1.875.000 TRY
                  "
117916-1207,17-07-2023,For Sale,Apartment,,3 + 1,155 m2,6. Floor,1 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Empty,Condominium,200 TRY,No,"South, East",,,,Kayseri,Talas,Mevlana,"
                    1.675.000 TRY
                  "
128489-203,22-05-2023,For Sale,Apartment,,3 + 1,175 m2,3. Floor,New Property,Central Heating (Share Meter),8 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"North, South, West",,,,Kayseri,Kocasinan,Sancaktepe,"
                    2.195.000 TRY
                  "
135339-12,24-07-2023,For Sale,Apartment,,3 + 1,190 m2,7. Floor,16 at Age,Central Heating (Share Meter),8 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,1 TRY,No,"South, West",,,,Kayseri,Kocasinan,Erciyesevler,"
                    3.250.000 TRY
                  "
124546-389,11-07-2023,For Sale,Apartment,,3 + 1,175 m2,2. Floor,1 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, West",,,,Kayseri,Kocasinan,Hoca Ahmet Yesevi,"
                    2.200.000 TRY
                  "
124397-364,07-07-2023,For Sale,Apartment,,3 + 1,175 m2,2. Floor,New Property,Central Heating (Share Meter),7 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"North, South, East, West",,,,Kayseri,Bünyan,Fatih,"
                    1.650.000 TRY
                  "
116105-211,24-07-2023,For Sale,Detached House,Daire,2 + 1,110 m2,,8 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Masonry,Second Hand,Tenanted,Land,10 TRY,No,"North, South, East, West",3.000 TRY,Gas,Yes,Kayseri,Melikgazi,Osmanlı,"
                    2.300.000 TRY
                  "
125140-760,04-08-2023,For Sale,Apartment,Daire,4 + 1,175 m2,4. Floor,New Property,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, East",,Gas,Yes,Kayseri,Melikgazi,İldem Cumhuriyet,"
                    2.150.000 TRY
                  "
134978-30,12-06-2023,For Sale,Apartment,Daire,4 + 1,210 m2,1. Floor,New Property,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, West",,Gas,Yes,Kayseri,Kocasinan,Seyrani,"
                    2.300.000 TRY
                  "
133669-179,06-07-2023,For Sale,Apartment,Daire,4 + 1,210 m2,Middle Floor,8 at Age,Central,12 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Unspecified,Condominium,450 TRY,No,,5.000 TRY,Gas,Yes,Kayseri,Melikgazi,Gesi Fatih,"
                    2.200.000 TRY
                  "
139165-1,05-08-2023,For Sale,Apartment,Daire,3 + 1,170 m2,4. Floor,3 at Age,Central,10 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,200 TRY,No,"South, West",7.000 TRY,Gas,Yes,Kayseri,Melikgazi,Sakarya,"
                    1.850.000 TRY
                  "
82329-438,15-07-2023,For Sale,Apartment,Daire,3 + 1,175 m2,14. Floor,New Property,Central,14 Storey,Unknown,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,350 TRY,No,"South, East, West",8.000 TRY,Gas,Yes,Kayseri,Kocasinan,Saray Bosna,"
                    1.800.000 TRY
                  "
116394-724,29-07-2023,For Sale,Apartment,Daire,3 + 1,150 m2,2. Floor,18 at Age,Central,13 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,Condominium,200 TRY,No,"South, East",8.000 TRY,Gas,Yes,Kayseri,Talas,Mevlana,"
                    1.099.000 TRY
                  "
138835-5,25-07-2023,For Sale,Apartment,,3 + 1,165 m2,1. Floor,New Property,Central Heating (Share Meter),10 Storey,Available,Not Furnished,1,,,Empty,Condominium,,No,,,,,Kayseri,Melikgazi,Gesi Fatih,"
                    1.300.000 TRY
                  "
122419-1624,14-07-2023,For Sale,Apartment,Daire,4 + 1,160 m2,Top Floor,New Property,Combi Boiler,5 Storey,Not Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"South, East, West",,Gas,,Kayseri,Develi,Camiicedit,"
                    1.700.000 TRY
                  "
120578-813,25-06-2023,For Sale,Apartment,,3 + 1,175 m2,1. Floor,4 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,350 TRY,No,"North, South, West",,,,Kayseri,Talas,Mevlana,"
                    1.650.000 TRY
                  "
125486-1459,05-08-2023,For Sale,Apartment,,3 + 1,185 m2,10. Floor,5 at Age,Central,12 Storey,Available,Not Furnished,2,,,Owner,Condominium,450 TRY,No,"North, South, East",,,,Kayseri,Kocasinan,Hoca Ahmet Yesevi,"
                    1.890.000 TRY
                  "
137456-29,05-08-2023,For Sale,Apartment,Daire,3 + 1,165 m2,5. Floor,16 at Age,Central Heating (Share Meter),6 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Floor Easement,,No,"South, East",,Gas,,Kayseri,Melikgazi,Osman Kavuncu,"
                    1.275.000 TRY
                  "
0-40761107,09-05-2023,For Sale,Apartment,Daire,3 + 1,210 m2,Top Floor,15 at Age,Combi Boiler,10 Storey,Unknown,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,100 TRY,No,"North, South, West",3.750 TRY,Gas,,Kayseri,Melikgazi,30 Ağustos,"
                    1.695.000 TRY
                  "
84031-290,01-08-2023,For Sale,Detached House,,3 + 1,250 m2,,15 at Age,Combi Boiler,2 Storey,Available,Not Furnished,1,,,,,,No,South,,,Yes,Kayseri,Melikgazi,Osmanlı,"
                    1.775.000 TRY
                  "
116396-194,30-07-2023,For Sale,Apartment,Daire,2 + 1,135 m2,Raised Ground Floor,New Property,Central Heating (Share Meter),7 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, West",,Gas,Yes,Kayseri,Talas,Mevlana,"
                    2.782.000 TRY
                  "
84609-2968,03-07-2023,For Sale,Apartment,,3 + 1,160 m2,4. Floor,New Property,Central Heating (Share Meter),9 Storey,Available,Not Furnished,1,,0,Empty,Condominium,,No,"North, East",,Gas,Yes,Kayseri,Melikgazi,Kazımkarabekir,"
                    2.000.000 TRY
                  "
4453-7878,03-08-2023,For Sale,Apartment,Daire,3 + 1,185 m2,1. Floor,21 at Age,Central,8 Storey,Available,Not Furnished,1,,Second Hand,Tenanted,Condominium,1.200 TRY,No,"North, West",,Gas,Yes,Kayseri,Kocasinan,Sahabiye,"
                    1.470.000 TRY
                  "
90372-400,05-08-2023,For Sale,Apartment,Daire,3 + 1,175 m2,2. Floor,15 at Age,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Tenanted,Condominium,200 TRY,No,"North, South, East",7.000 TRY,Gas,Yes,Kayseri,Talas,Yenidoğan,"
                    1.550.000 TRY
                  "
96602-868,08-07-2023,For Sale,Villa,Müstakil Ev,3 + 1,890 m2,,10 at Age,Combi Boiler,3 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Melikgazi,Bahçelievler,"
                    6.250.000 TRY
                  "
4594-344,25-07-2023,For Sale,Villa,Dubleks,5 + 1,375 m2,,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,1,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, South, East, West",,Gas,Yes,Kayseri,Hacılar,Erciyes,"
                    5.400.000 TRY
                  "
125486-1463,05-08-2023,For Sale,Apartment,,4 + 1,220 m2,14. Floor,2 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Owner,Condominium,400 TRY,No,"North, East",,,,Kayseri,Kocasinan,Alsancak,"
                    3.100.000 TRY
                  "
0-41189084,29-07-2023,For Sale,Apartment,Daire,2 + 1,125 m2,8. Floor,1 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Empty,,275 TRY,No,"North, East, West",5.000 TRY,Gas,,Kayseri,Kocasinan,Yenidoğan,"
                    1.750.000 TRY
                  "
0-41056815,06-08-2023,For Sale,Apartment,,3 + 1,165 m2,1. Floor,4 at Age,Central Heating (Share Meter),9 Storey,Available,Not Furnished,1,,,Tenanted,Condominium,250 TRY,No,"South, West",,,,Kayseri,Melikgazi,Bahçelievler,"
                    1.455.000 TRY
                  "
124543-278,06-08-2023,For Sale,Apartment,Daire,3 + 1,150 m2,Ground,20 at Age,Combi Boiler,2 Storey,Available,Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,200 TRY,No,North,3.000 TRY,Gas,Yes,Kayseri,Melikgazi,Esenyurt,"
                    895.000 TRY
                  "
131736-235,07-07-2023,For Sale,Apartment,Daire,4 + 1,160 m2,4. Floor,New Property,Combi Boiler,4 Storey,Not Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Aşık Seyrani,"
                    1.900.000 TRY
                  "
131025-340,03-07-2023,For Sale,Apartment,Daire,3 + 1,130 m2,Ground,20 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,,No,,,Gas,,Kayseri,Develi,Güneyaşağı,"
                    974.000 TRY
                  "
0-40910674,26-07-2023,For Sale,Detached House,Müstakil Ev,2 + 1,588 m2,,15 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,Masonry,Second Hand,Empty,,,No,"North, South, East, West",,Coal-Wood,,Kayseri,Talas,Kepez,"
                    565.000 TRY
                  "
75931-2091,27-07-2023,For Sale,Apartment,Daire,3 + 1,145 m2,3. Floor,20 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,,No,"East, West",,Gas,Yes,Kayseri,Develi,Harman,"
                    1.500.000 TRY
                  "
78539-799,01-08-2023,For Sale,Apartment,Daire,2 + 1,130 m2,2. Floor,40 at Age,Heating Stove,4 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Floor Easement,,No,"North, West",6.000 TRY,Gas,Yes,Kayseri,Melikgazi,Hunat,"
                    960.000 TRY
                  "
132363-570,18-07-2023,For Sale,Apartment,,2 + 1,105 m2,1. Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,1,,,Empty,Floor Easement,,No,,,,,Kayseri,Talas,Mevlana,"
                    1.500.000 TRY
                  "
