Listing No,Last Update Date,Listing status,Residence Type,Property Structure,Number Of Room + Hall,Gross/Net m²,Floor,Property Age,Heating Type,Number of Floors,Loan Availability,Furnishing Status,Number of Bathrooms,Structure Type,State of the Building,Usage Status,Title Deed Status,Dues,Swap,Facade,Rental Income,Fuel Type,Authorized Office,City,District,Town,Price
132875-302,24-07-2023,For Sale,Apartment,Daire,3 + 1,190 m2,Middle Floor,1 at Age,Central Heating (Share Meter),12 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Floor Easement,,No,"North, East",,Gas,Yes,Kayseri,Melikgazi,Yeşilyurt,"
                    1.950.000 TRY
                  "
113524-972,18-07-2023,For Sale,Apartment,,4 + 1,246 m2,13. Floor,11 at Age,Combi Boiler,14 Storey,Available,Not Furnished,2,,,Owner,Condominium,550 TRY,No,"North, South, West",,,,Kayseri,Talas,Bahçelievler,"
                    3.750.000 TRY
                  "
75931-2329,31-07-2023,For Sale,Apartment,Daire,2 + 1,115 m2,Middle Floor,35 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Tenanted,Condominium,,No,"North, South, East",,Gas,Yes,Kayseri,Develi,Şehit Üsteğmen Hasan Şahan,"
                    900.000 TRY
                  "
120038-484,27-07-2023,For Sale,Apartment,,3 + 1,165 m2,3. Floor,11 at Age,Combi Boiler,3 Storey,Available,Not Furnished,1,,,Owner,Condominium,,No,"North, South, West",,,,Kayseri,Melikgazi,Alpaslan,"
                    1.850.000 TRY
                  "
692460-1086,08-07-2023,For Sale,Villa,Müstakil Ev,4 + 1,205 m2,Villa Floor,New Property,Combi Boiler,2 Storey,Not Available,Not Furnished,4,,0,Empty,,,No,"South, East, West",,Gas,Yes,Kayseri,Develi,Yeni,"
                    4.625.000 TRY
                  "
87047-1169,31-07-2023,For Sale,Apartment,,3 + 1,130 m2,2. Floor,31 at Age,Central,8 Storey,Available,,1,,,,,,,,,,,Kayseri,Kocasinan,Fevzi Çakmak,"
                    1.190.000 TRY
                  "
130149-142,15-07-2023,For Sale,Apartment,,3 + 1,165 m2,12. Floor,11 at Age,Central,12 Storey,Available,Not Furnished,1,,,Owner,Condominium,250 TRY,No,"South, East",,,,Kayseri,Melikgazi,Tacettin Veli,"
                    1.400.000 TRY
                  "
135339-43,24-07-2023,For Sale,Apartment,,4 + 1,230 m2,15. Floor,5 at Age,Central Heating (Share Meter),21 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"North, East",,,,Kayseri,Melikgazi,Hunat,"
                    8.500.000 TRY
                  "
134950-56,18-07-2023,For Sale,Apartment,Daire,4 + 1,160 m2,Raised Ground Floor,1 at Age,Combi Boiler,5 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Mustafa Asım Köksal,"
                    1 TRY
                  "
135461-678,03-07-2023,For Sale,Apartment,Dubleks,4 + 1,175 m2,3. Floor,8 at Age,Combi Boiler,3 Storey,Available,Not Furnished,3,Reinforced Concrete,Second Hand,Unspecified,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,Feneseyukarı,"
                    1.550.000 TRY
                  "
128470-469,05-08-2023,For Sale,Apartment,,3 + 1,175 m2,11. Floor,5 at Age,Central Heating (Share Meter),14 Storey,Available,Not Furnished,2,,,Tenanted,Condominium,,No,"South, West",,,,Kayseri,Melikgazi,Yıldırım Beyazıt,"
                    2.500.000 TRY
                  "
125140-844,14-07-2023,For Sale,Apartment,,6 + 1,400 m2,9. Floor,5 at Age,Central Heating (Share Meter),9 Storey,Available,Not Furnished,4,,,Empty,Condominium,1 TRY,No,"North, South, East",,,,Kayseri,Kocasinan,Yıldızevler,"
                    9.750.000 TRY
                  "
95003-279,18-07-2023,For Sale,Apartment,,3 + 1,185 m2,4. Floor,New Property,Combi Boiler,6 Storey,Available,Not Furnished,2,,,Empty,Condominium,,No,"North, South, East, West",,,,Kayseri,Kocasinan,Zümrüt,"
                    2.650.000 TRY
                  "
138804-9,05-08-2023,For Sale,Apartment,,3 + 1,165 m2,1. Floor,16 at Age,Combi Boiler,2 Storey,Not Available,Not Furnished,1,,,Tenanted,Floor Easement,,No,South,,,,Kayseri,Melikgazi,Esenyurt,"
                    1.100.000 TRY
                  "
120649-414,17-07-2023,For Sale,Apartment,,2 + 1,115 m2,Middle Floor,12 at Age,Combi Boiler,5 Storey,Unknown,Not Furnished,1,,,,,,No,,,,,Kayseri,Develi,Yeni,"
                    1.250.000 TRY
                  "
72685-134,06-07-2023,For Sale,Apartment,Daire,4 + 1,190 m2,8. Floor,New Property,Central Heating (Share Meter),13 Storey,Available,Not Furnished,2,Reinforced Concrete,0,Empty,Condominium,,No,"North, West",,Gas,,Kayseri,Kocasinan,Ertuğrul Gazi,"
                    1.940.000 TRY
                  "
99212-1925,22-07-2023,For Sale,Apartment,Daire,2 + 1,100 m2,Middle Floor,New Property,Combi Boiler,5 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,,No,"North, South, East, West",,Gas,Yes,Kayseri,Develi,İbrahimağa,"
                    1.600.000 TRY
                  "
124543-269,30-07-2023,For Sale,Apartment,,3 + 1,165 m2,2. Floor,New Property,Central Heating (Share Meter),8 Storey,Available,Not Furnished,2,,,Empty,Floor Easement,,No,"North, South, East",,,,Kayseri,Melikgazi,Şirintepe,"
                    1.525.000 TRY
                  "
91207-2559,25-07-2023,For Sale,Apartment,,3 + 1,165 m2,Ground,21 at Age,Combi Boiler,4 Storey,Available,Not Furnished,1,,,Owner,Condominium,,No,"South, West",,,,Kayseri,Melikgazi,Esenyurt,"
                    1.070.000 TRY
                  "
125486-1564,05-08-2023,For Sale,Detached House,,3 + 1,130 m2,Garden Floor,31 at Age,Heating Stove,1 Storey,Available,Not Furnished,1,,,Empty,,,No,"North, South, East, West",,,,Kayseri,Kocasinan,Saraycık,"
                    590.000 TRY
                  "
84609-3003,02-06-2023,For Sale,Apartment,Daire,4 + 1,210 m2,11. Floor,17 at Age,Central,14 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, South, West",12.500 TRY,Gas,Yes,Kayseri,Melikgazi,Köşk,"
                    4.250.000 TRY
                  "
18531-4194,17-07-2023,For Sale,Apartment,,3 + 1,150 m2,3. Floor,5 at Age,Combi Boiler,8 Storey,Available,,1,,,Tenanted,Condominium,,,"South, East, West",,,,Kayseri,Melikgazi,Demokrasi,"
                    1.800.000 TRY
                  "
60779-3831,20-06-2023,For Sale,Apartment,Daire,3 + 1,175 m2,5. Floor,7 at Age,Central Heating (Share Meter),10 Storey,Available,Not Furnished,2,Reinforced Concrete,Second Hand,Empty,Condominium,,No,"North, East, West",,Gas,Yes,Kayseri,Talas,Yenidoğan,"
                    1.950.000 TRY
                  "
134958-263,13-06-2023,For Sale,Apartment,Daire,3 + 1,166 m2,3. Floor,New Property,Central Heating (Share Meter),7 Storey,Available,Not Furnished,1,Reinforced Concrete,0,Empty,Condominium,,No,"South, East",4.500 TRY,Gas,Yes,Kayseri,Kocasinan,Osmangazi,"
                    1.520.000 TRY
                  "
134309-167,24-07-2023,For Sale,Apartment,Daire,3 + 1,165 m2,2. Floor,14 at Age,Central,5 Storey,Available,Not Furnished,1,Reinforced Concrete,Second Hand,Owner,Condominium,,No,"South, West",,Gas,Yes,Kayseri,Kocasinan,Ahi Evran,"
                    1.285.000 TRY
                  "
