,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk
226,12799455,19 Temmuz 2023,Satılık,165 M2,0 (Yeni),12,Boş,02 Mart 2023,Konut,135 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Melikgazi - Tınaztepe Mahallesi,
227,12799406,05 Haziran 2023,Satılık,175 M2,11-15,12,Mülk Sahibi Oturuyor,02 Mart 2023,Konut,135 M2,3+1,7.Kat,Merkezi (Pay Ölçer),2.565.000TL,Kayseri - Melikgazi - Köşk Mahallesi,
228,12798359,13 Haziran 2023,Satılık,145 M2,11-15,14,Mülk Sahibi Oturuyor,02 Mart 2023,Konut,115 M2,3+1,1.Kat,Merkezi Doğalgaz,1.100.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,
229,12796185,26 Mayıs 2023,Satılık,1.038 M2,1,2,Mülk Sahibi Oturuyor,01 Mart 2023,Konut,300 M2,5+1,Düz Giriş,Yerden Isıtma,9.980.000TL,Kayseri - Melikgazi - Eğribucak Mahallesi,
230,12789938,29 Mayıs 2023,Satılık,175 M2,5-10,14,Mülk Sahibi Oturuyor,28 Şubat 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.455.000TL,Kayseri - Melikgazi - 19 Mayıs Mahallesi,
231,12686702,13 Haziran 2023,Satılık,165 M2,16-20,6,Mülk Sahibi Oturuyor,08 Şubat 2023,Konut,144 M2,3+1,4.Kat,Kombi Doğalgaz,1.460.000TL,Kayseri - Melikgazi - Yeniköy Mahallesi,
232,12686675,20 Mayıs 2023,Satılık,210 M2,0 (Yeni),7,Boş,08 Şubat 2023,Konut,160 M2,4+1,1.Kat,Merkezi (Pay Ölçer),4.200.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Krediye Uygun Değil
233,12685815,12 Haziran 2023,Satılık,175 M2,0 (Yeni),10,Boş,08 Şubat 2023,Konut,130 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1.850.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,
234,12685807,27 Temmuz 2023,Satılık,190 M2,0 (Yeni),13,Boş,08 Şubat 2023,Konut,140 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1.850.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,
235,12685802,24 Temmuz 2023,Satılık,175 M2,0 (Yeni),14,Boş,08 Şubat 2023,Konut,135 M2,3.5+1,1.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,
236,12676217,29 Temmuz 2023,Satılık,130 M2,0 (Yeni),15,Boş,05 Şubat 2023,Konut,95 M2,2+1,6.Kat,Merkezi (Pay Ölçer),1.350.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,
237,12796185,26 Mayıs 2023,Satılık,1.038 M2,1,2,Mülk Sahibi Oturuyor,01 Mart 2023,Konut,300 M2,5+1,Düz Giriş,Yerden Isıtma,9.980.000TL,Kayseri - Melikgazi - Eğribucak Mahallesi,
238,12789938,29 Mayıs 2023,Satılık,175 M2,5-10,14,Mülk Sahibi Oturuyor,28 Şubat 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.455.000TL,Kayseri - Melikgazi - 19 Mayıs Mahallesi,
239,12556279,26 Temmuz 2023,Satılık,127 M2,11-15,7,Mülk Sahibi Oturuyor,20 Ocak 2023,Konut,110 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,750.000TL,Kayseri - Melikgazi - Battalgazi Mahallesi,
240,12555564,02 Temmuz 2023,Satılık,150 M2,5-10,2,Boş,20 Ocak 2023,Konut,130 M2,3+1,Düz Giriş,Sobalı,3.200.000TL,Kayseri - Melikgazi - Ağırnas Mahallesi,Krediye Uygun Değil
241,12535328,23 Haziran 2023,Satılık,130 M2,0 (Yeni),14,Boş,16 Ocak 2023,Konut,100 M2,3+1,4.Kat,Merkezi (Pay Ölçer),560.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil
242,12529276,10 Temmuz 2023,Satılık,209 M2,16-20,4,Kiracı Oturuyor,15 Ocak 2023,Konut,100 M2,9+ Oda,4.Kat,Kombi Doğalgaz,2.450.000TL,Kayseri - Melikgazi - Osmanlı Mahallesi,
243,12502767,10 Haziran 2023,Satılık,165 M2,0 (Yeni),12,Boş,09 Ocak 2023,Konut,120 M2,2.5+1,5.Kat,Merkezi Doğalgaz,540.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil
244,12478831,05 Haziran 2023,Satılık,190 M2,0 (Yeni),12,Boş,06 Ocak 2023,Konut,150 M2,4+1,11.Kat,Merkezi (Pay Ölçer),1.650.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,
245,12462777,05 Haziran 2023,Satılık,140 M2,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,03 Ocak 2023,Konut,115 M2,3+1,3.Kat,Doğalgaz Sobalı,775.000TL,Kayseri - Melikgazi - Kılıçaslan Mahallesi,
246,12437020,05 Haziran 2023,Satılık,165 M2,0 (Yeni),12,Boş,30 Aralık 2022,Konut,120 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.730.000TL,Kayseri - Melikgazi - Gülük Mahallesi,
247,12422292,22 Haziran 2023,Satılık,450 M2,5-10,3,Mülk Sahibi Oturuyor,28 Aralık 2022,Konut,350 M2,6+2,Villa Tipi,Kombi Doğalgaz,12.500.000TL,Kayseri - Melikgazi - Becen Mahallesi,
248,11725391,06 Temmuz 2023,Satılık,1.861 M2,5-10,3,Boş,31 Ağustos 2022,Konut,1.860 M2,9+ Oda,Villa Tipi,Kat Kaloriferi,10.500.000TL,Kayseri - Melikgazi - Mimarsinan Mahallesi,
249,11666805,14 Haziran 2023,Satılık,500 M2,5-10,3,Mülk Sahibi Oturuyor,19 Ağustos 2022,Konut,450 M2,9+ Oda,Düz Giriş,Kat Kaloriferi,4.250.000TL,Kayseri - Melikgazi - Bağpınar Mahallesi,
250,11641240,28 Temmuz 2023,Satılık,190 M2,0 (Yeni),14,Boş,14 Ağustos 2022,Konut,140 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1.850.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,
251,11554289,29 Mayıs 2023,Satılık,185 M2,5-10,13,Mülk Sahibi Oturuyor,01 Ağustos 2022,Konut,140 M2,3+1,1.Kat,Kombi Doğalgaz,1.510.000TL,Kayseri - Melikgazi - Esentepe Mahallesi,
252,11506998,29 Temmuz 2023,Satılık,175 M2,1,10,Mülk Sahibi Oturuyor,22 Temmuz 2022,Konut,150 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1.900.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,
253,11478291,15 Haziran 2023,Satılık,60 M2,4,1,Kiracı Oturuyor,16 Temmuz 2022,Konut,55 M2,1+1,Müstakil.Kat,Isıtma Yok,1.675.000TL,Kayseri - Melikgazi - Becen Mahallesi,
254,11471221,22 Temmuz 2023,Satılık,185 M2,0 (Yeni),12,Boş,15 Temmuz 2022,Konut,140 M2,4+1,1.Kat,Merkezi (Pay Ölçer),3.350.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,
255,11433153,29 Temmuz 2023,Satılık,185 M2,0 (Yeni),13,Mülk Sahibi Oturuyor,04 Temmuz 2022,Konut,145 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.850.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,
256,11344066,22 Mayıs 2023,Satılık,175 M2,5-10,11,Mülk Sahibi Oturuyor,16 Haziran 2022,Konut,145 M2,3+1,5.Kat,Merkezi Doğalgaz,1.600.000TL,Kayseri - Melikgazi - Tavlusun Mahallesi,
