,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
0,13646817,29 Temmuz 2023,Satılık,180 M2,0 (Yeni),7,Boş,29 Temmuz 2023,Konut,150 M2,3.5+1,2.Kat,Kombi Doğalgaz,3.200.000TL,Kayseri - Melikgazi - Germir Mahallesi,,,
1,13646763,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),2,Boş,29 Temmuz 2023,Konut,125 M2,3+1,Düz Giriş,Kombi Doğalgaz,4.500.000TL,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,,,
2,13646753,29 Temmuz 2023,Satılık,110 M2,5-10,9,Boş,29 Temmuz 2023,Konut,100 M2,2+1,Düz Giriş,Merkezi (Pay Ölçer),920.000TL,Kayseri - Melikgazi - Battalgazi Mahallesi,,,
3,13646618,30 Temmuz 2023,Satılık,210 M2,5-10,11,Mülk Sahibi Oturuyor,29 Temmuz 2023,Konut,155 M2,3+2,11.Kat,Merkezi (Pay Ölçer),2.600.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
4,13646589,29 Temmuz 2023,Satılık,155 M2,2,13,Boş,29 Temmuz 2023,Konut,135 M2,3+1,12.Kat,Merkezi Doğalgaz,2.300.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,,,
5,13645086,29 Temmuz 2023,Satılık,175 M2,4,11,Kiracı Oturuyor,29 Temmuz 2023,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz,1.735.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil,,
6,13644778,29 Temmuz 2023,Satılık,165 M2,5-10,6,Boş,29 Temmuz 2023,Konut,140 M2,3+1,3.Kat,Kombi Doğalgaz,2.525.000TL,Kayseri - Kocasinan - Zümrüt Mahallesi,,,
7,13644537,29 Temmuz 2023,Satılık,135 M2,16-20,7,Boş,29 Temmuz 2023,Konut,120 M2,3+1,7.Kat,Merkezi Doğalgaz,1.250.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
8,13644232,29 Temmuz 2023,Satılık,100 M2,21 Ve Üzeri,2,Boş,29 Temmuz 2023,Konut,80 M2,2+1,Düz Giriş,Kombi Doğalgaz,1.650.000TL,Kayseri - Melikgazi - Gesi Mahallesi,Krediye Uygun Değil,,
9,13642861,29 Temmuz 2023,Satılık,145 M2,16-20,9,Mülk Sahibi Oturuyor,29 Temmuz 2023,Konut,120 M2,3+1,9.Kat,Merkezi Doğalgaz,1.300.000TL,Kayseri - Melikgazi - Altınoluk Mahallesi,,,
10,13642120,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),8,Boş,29 Temmuz 2023,Konut,125 M2,3+1,5.Kat,Merkezi (Pay Ölçer),2.380.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,,,
11,13640490,29 Temmuz 2023,Satılık,117 M2,3,10,Boş,28 Temmuz 2023,Konut,105 M2,2+1,5.Kat,Merkezi Doğalgaz,1.390.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,
12,13639902,29 Temmuz 2023,Satılık,170 M2,1,12,Boş,28 Temmuz 2023,Konut,130 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.950.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,
13,13639768,29 Temmuz 2023,Satılık,220 M2,5-10,4,Boş,28 Temmuz 2023,Konut,190 M2,4+1,4.Kat,Merkezi (Pay Ölçer),2.300.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
14,13639733,28 Temmuz 2023,Satılık,165 M2,5-10,12,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,135 M2,3+1,10.Kat,Kombi Doğalgaz,1.770.000TL,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,,,
15,13639330,28 Temmuz 2023,Satılık,165 M2,11-15,12,Boş,28 Temmuz 2023,Konut,130 M2,3+1,6.Kat,Merkezi Doğalgaz,1.380.000TL,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,,,
16,13639289,28 Temmuz 2023,Satılık,165 M2,0 (Yeni),9,Boş,28 Temmuz 2023,Konut,120 M2,3+1,3.Kat,Kombi Doğalgaz,2.000.000TL,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,,,
17,13638890,28 Temmuz 2023,Satılık,200 M2,0 (Yeni),14,Boş,28 Temmuz 2023,Konut,155 M2,4+1,3.Kat,Merkezi (Pay Ölçer),2.750.000TL,Kayseri - Kocasinan - Zümrüt Mahallesi,,,
18,13638179,28 Temmuz 2023,Satılık,150 M2,11-15,7,Boş,28 Temmuz 2023,Konut,130 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.280.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,
19,13638139,28 Temmuz 2023,Satılık,175 M2,11-15,10,Boş,28 Temmuz 2023,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1.575.000TL,Kayseri - Kocasinan - Yeşil Mahallesi,,,
20,13638101,28 Temmuz 2023,Satılık,175 M2,5-10,13,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,135 M2,3+1,12.Kat,Merkezi (Pay Ölçer),1.600.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,
21,13637546,28 Temmuz 2023,Satılık,150 M2,5-10,8,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,120 M2,3+1,4.Kat,Merkezi Doğalgaz,1.600.000TL,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,,,
22,13636790,28 Temmuz 2023,Satılık,190 M2,5-10,13,Kiracı Oturuyor,28 Temmuz 2023,Konut,165 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1.895.000TL,Kayseri - Kocasinan - Saray Bosna Mahallesi,,,
23,13636784,28 Temmuz 2023,Satılık,195 M2,11-15,7,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,175 M2,3+1,3.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Melikgazi - Gülük Mahallesi,,,
24,13635907,28 Temmuz 2023,Satılık,120 M2,21 Ve Üzeri,5,Boş,28 Temmuz 2023,Konut,100 M2,2+1,Düz Giriş,Merkezi Doğalgaz,955.000TL,Kayseri - Kocasinan - Mevlana Mahallesi,,,
25,13635692,28 Temmuz 2023,Satılık,110 M2,21 Ve Üzeri,5,Kiracı Oturuyor,28 Temmuz 2023,Konut,105 M2,2+1,3.Kat,Kombi Doğalgaz,900.000TL,Kayseri - Melikgazi - Gülük Mahallesi,Krediye Uygun Değil,,
26,13635311,28 Temmuz 2023,Satılık,185 M2,5-10,3,Boş,28 Temmuz 2023,Konut,145 M2,3+1,2.Kat,Kombi Doğalgaz,1.635.000TL,Kayseri - Melikgazi - Esentepe Mahallesi,,,
27,13635295,28 Temmuz 2023,Satılık,285 M2,5-10,8,Kiracı Oturuyor,28 Temmuz 2023,Konut,270 M2,3+1,4.Kat,Merkezi Doğalgaz,2.550.000TL,Kayseri - Melikgazi - Esentepe Mahallesi,Krediye Uygun Değil,,
28,13635044,28 Temmuz 2023,Satılık,185 M2,11-15,9,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,145 M2,3+1,5.Kat,Merkezi (Pay Ölçer),2.095.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Krediye Uygun Değil,,
29,13633374,27 Temmuz 2023,Satılık,165 M2,5-10,14,Boş,27 Temmuz 2023,Konut,130 M2,3+1,3.Kat,Merkezi Doğalgaz,1.485.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,,,
30,13633368,27 Temmuz 2023,Satılık,185 M2,5-10,13,Boş,27 Temmuz 2023,Konut,165 M2,3+1,3.Kat,Merkezi Doğalgaz,1.485.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,,,
31,13632832,27 Temmuz 2023,Satılık,180 M2,4,13,Boş,27 Temmuz 2023,Konut,130 M2,3+1,7.Kat,Merkezi Doğalgaz,1.770.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
32,13632781,29 Temmuz 2023,Satılık,135 M2,0 (Yeni),5,Boş,27 Temmuz 2023,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,1.450.000TL,Kayseri - Melikgazi - Hürriyet Mahallesi,,,
33,13631665,27 Temmuz 2023,Satılık,165 M2,2,12,Kiracı Oturuyor,27 Temmuz 2023,Konut,120 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1.445.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
34,13630701,27 Temmuz 2023,Satılık,200 M2,3,19,Boş,27 Temmuz 2023,Konut,170 M2,4+1,17.Kat,Merkezi (Pay Ölçer),2.850.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,,
35,13630694,27 Temmuz 2023,Satılık,200 M2,4,5,Mülk Sahibi Oturuyor,27 Temmuz 2023,Konut,165 M2,4+1,2.Kat,Merkezi Doğalgaz,3.000.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,,,
36,13630218,30 Temmuz 2023,Satılık,175 M2,0 (Yeni),12,Boş,27 Temmuz 2023,Konut,135 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1.595.000TL,Kayseri - Melikgazi - Fatih Mahallesi,,,
37,13630147,27 Temmuz 2023,Satılık,170 M2,5-10,12,Mülk Sahibi Oturuyor,27 Temmuz 2023,Konut,160 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.575.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
38,13629918,27 Temmuz 2023,Satılık,140 M2,11-15,9,Boş,27 Temmuz 2023,Konut,115 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.350.000TL,Kayseri - Melikgazi - Esentepe Mahallesi,Krediye Uygun Değil,,
39,13628834,29 Temmuz 2023,Satılık,238 M2,16-20,1,Boş,27 Temmuz 2023,Konut,237 M2,3+1,Düz Giriş,Sobalı,870.000TL,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Krediye Uygun Değil,,
40,13628833,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),12,Boş,27 Temmuz 2023,Konut,138 M2,3+1,6.Kat,Merkezi (Pay Ölçer),2.080.000TLarrow_downward%3,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,
41,13649415,30 Temmuz 2023,Satılık,160 M2,21 Ve Üzeri,11,Boş,30 Temmuz 2023,Konut,130 M2,3+1,10.Kat,Merkezi Doğalgaz,1.800.000TL,Kayseri - Melikgazi - Osman Kavuncu Mahallesi,Krediye Uygun Değil,,
42,13649413,30 Temmuz 2023,Satılık,140 M2,21 Ve Üzeri,6,Mülk Sahibi Oturuyor,30 Temmuz 2023,Konut,110 M2,3+1,Düz Giriş,Merkezi (Pay Ölçer),970.000TL,Kayseri - Kocasinan - Mevlana Mahallesi,,,
43,13649409,30 Temmuz 2023,Satılık,280 M2,4,14,Kiracı Oturuyor,30 Temmuz 2023,Konut,210 M2,4+1,13.Kat,Merkezi (Pay Ölçer),7.000.000TL,Kayseri - Kocasinan - Erciyesevler Mahallesi,,,
44,13649407,30 Temmuz 2023,Satılık,175 M2,11-15,8,Kiracı Oturuyor,30 Temmuz 2023,Konut,150 M2,3+1,3.Kat,Kombi Doğalgaz,1.588.000TL,Kayseri - Kocasinan - Kocasinan Mahallesi,,,
45,13649393,30 Temmuz 2023,Satılık,175 M2,16-20,4,Mülk Sahibi Oturuyor,30 Temmuz 2023,Konut,155 M2,3+1,1.Kat,Kombi Doğalgaz,1.320.000TL,Kayseri - Melikgazi - Keykubat Mahallesi,,,
46,13639412,29 Temmuz 2023,Satılık,190 M2,3,14,Kiracı Oturuyor,28 Temmuz 2023,Konut,160 M2,3+1,5.Kat,Merkezi (Pay Ölçer),330.000.000TL,Kayseri - Kocasinan - Uğurevler Mahallesi,,,
47,13639376,29 Temmuz 2023,Satılık,165 M2,5-10,12,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,125 M2,3+1,2.Kat,Merkezi Doğalgaz,1.900.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Krediye Uygun Değil,,
48,13639225,28 Temmuz 2023,Satılık,145 M2,16-20,8,Mülk Sahibi Oturuyor,28 Temmuz 2023,Konut,135 M2,2+1,5.Kat,Kombi Doğalgaz,1.250.000TL,Kayseri - Kocasinan - Mimarsinan Mahallesi,Bilinmiyor,,
49,13639170,28 Temmuz 2023,Satılık,304 M2,16-20,1,Kiracı Oturuyor,28 Temmuz 2023,Konut,85 M2,2+1,Bahçe Katı,Sobalı,1.450.000TL,Kayseri - Melikgazi - Fatih Mahallesi,,,
50,13639148,28 Temmuz 2023,Satılık,120 M2,0 (Yeni),13,Boş,28 Temmuz 2023,Konut,100 M2,2+1,1.Kat,Merkezi Doğalgaz,1.400.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,
51,13639048,28 Temmuz 2023,Satılık,150 M2,5-10,14,Boş,28 Temmuz 2023,Konut,110 M2,3+1,5.Kat,Kombi Doğalgaz,1.500.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,,,
52,13638576,28 Temmuz 2023,Satılık,175 M2,11-15,14,Boş,28 Temmuz 2023,Konut,130 M2,3+1,13.Kat,Merkezi Doğalgaz,2.150.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,,,
53,13638032,28 Temmuz 2023,Satılık,165 M2,0 (Yeni),12,Boş,28 Temmuz 2023,Konut,130 M2,3+0,5.Kat,Merkezi (Pay Ölçer),1.550.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,,
54,13636783,28 Temmuz 2023,Satılık,175 M2,16-20,8,Boş,28 Temmuz 2023,Konut,155 M2,3+1,3.Kat,Kombi Doğalgaz,1.499.000TL,Kayseri - Melikgazi - Esenyurt Mahallesi,,,
55,13636666,29 Temmuz 2023,Satılık,200 M2,11-15,14,Boş,28 Temmuz 2023,Konut,160 M2,3+1,12.Kat,Merkezi (Pay Ölçer),3.225.000TL,Kayseri - Melikgazi - Köşk Mahallesi,,,
56,13635905,28 Temmuz 2023,Satılık,135 M2,21 Ve Üzeri,7,Kiracı Oturuyor,28 Temmuz 2023,Konut,110 M2,2+1,Düz Giriş,Merkezi (Pay Ölçer),820.000TL,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,,,
57,13635652,28 Temmuz 2023,Satılık,982 M2,16-20,2,Kiracı Oturuyor,28 Temmuz 2023,Konut,981 M2,5+1,Düz Giriş,Sobalı,1.700.000TL,Kayseri - Melikgazi - Gürpınar Mahallesi,,,
58,13629910,27 Temmuz 2023,Satılık,140 M2,21 Ve Üzeri,2,Boş,27 Temmuz 2023,Konut,120 M2,4+0,Düz Giriş,Sobalı,220.000TL,Kayseri - Melikgazi - Gürpınar Mahallesi,,,
59,13629909,27 Temmuz 2023,Satılık,150 M2,21 Ve Üzeri,5,Kiracı Oturuyor,27 Temmuz 2023,Konut,140 M2,3+1,Düz Giriş,Kombi Doğalgaz,1.050.000TL,Kayseri - Kocasinan - Yeni Mahallesi,,,
60,13629908,27 Temmuz 2023,Satılık,96 M2,1,13,Kiracı Oturuyor,27 Temmuz 2023,Konut,73 M2,2+1,6.Kat,Merkezi (Pay Ölçer),1.550.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,,
61,13628607,27 Temmuz 2023,Satılık,180 M2,16-20,2,Boş,26 Temmuz 2023,Konut,140 M2,3+1,Düz Giriş,Kat Kaloriferi,2.850.000TL,Kayseri - Kocasinan - Boztepe Mahallesi,Krediye Uygun Değil,,
62,13628602,27 Temmuz 2023,Satılık,150 M2,11-15,6,Boş,26 Temmuz 2023,Konut,112 M2,3+1,3.Kat,Merkezi Doğalgaz,1.200.000TL,Kayseri - Melikgazi - Demokrasi Mahallesi,,,
63,13627056,26 Temmuz 2023,Satılık,165 M2,0 (Yeni),14,Boş,26 Temmuz 2023,Konut,125 M2,3+1,6.Kat,Merkezi Doğalgaz,403.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Krediye Uygun Değil,,
64,13626930,28 Temmuz 2023,Satılık,175 M2,0 (Yeni),10,Boş,26 Temmuz 2023,Konut,150 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.875.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,
65,13625950,30 Temmuz 2023,Satılık,175 M2,0 (Yeni),8,Boş,26 Temmuz 2023,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1.590.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,,,
66,13625949,26 Temmuz 2023,Satılık,165 M2,5-10,7,Boş,26 Temmuz 2023,Konut,125 M2,3+1,7.Kat,Kombi Doğalgaz,1.280.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,
67,13625881,26 Temmuz 2023,Satılık,165 M2,0 (Yeni),7,Boş,26 Temmuz 2023,Konut,125 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1.565.000TL,Kayseri - Kocasinan - Osmangazi Mahallesi,,,
68,13625688,30 Temmuz 2023,Satılık,180 M2,4,13,Boş,26 Temmuz 2023,Konut,130 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.770.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,
69,13624977,29 Temmuz 2023,Satılık,165 M2,16-20,4,Kiracı Oturuyor,26 Temmuz 2023,Konut,130 M2,3+1,Çatı Katı,Kombi Doğalgaz,1.550.000TL,Kayseri - Kocasinan - Zümrüt Mahallesi,,,
70,13624961,26 Temmuz 2023,Satılık,220 M2,5-10,14,Kiracı Oturuyor,26 Temmuz 2023,Konut,200 M2,4+1,4.Kat,Merkezi (Pay Ölçer),2.485.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,
71,13623628,26 Temmuz 2023,Satılık,210 M2,0 (Yeni),13,Boş,26 Temmuz 2023,Konut,190 M2,4+1,4.Kat,Merkezi (Pay Ölçer),3.940.000TL,Kayseri - Kocasinan - Yakut Mahallesi,,,
72,13623116,26 Temmuz 2023,Satılık,175 M2,0 (Yeni),12,Boş,26 Temmuz 2023,Konut,150 M2,3+1,1.Kat,Merkezi Doğalgaz,1.275.000TL,Kayseri - Melikgazi - 19 Mayıs Mahallesi,,,
73,13623115,26 Temmuz 2023,Satılık,170 M2,0 (Yeni),14,Boş,26 Temmuz 2023,Konut,120 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,,,
74,13623113,26 Temmuz 2023,Satılık,175 M2,0 (Yeni),6,Boş,26 Temmuz 2023,Konut,150 M2,3+1,5.Kat,Kombi Doğalgaz,1.350.000TL,Kayseri - Melikgazi - Şirintepe Mahallesi,,,
75,13623104,26 Temmuz 2023,Satılık,265 M2,5-10,12,Boş,26 Temmuz 2023,Konut,240 M2,4+1,6.Kat,Merkezi (Pay Ölçer),4.575.000TL,Kayseri - Kocasinan - Mimarsinan Mahallesi,,,
76,13623099,26 Temmuz 2023,Satılık,145 M2,2,4,Boş,26 Temmuz 2023,Konut,125 M2,3+1,Düz Giriş,Merkezi (Pay Ölçer),1.450.000TL,Kayseri - Kocasinan - Oruçreis Mahallesi,,,
77,13622634,25 Temmuz 2023,Satılık,120 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,25 Temmuz 2023,Konut,100 M2,3+1,Bahçe Katı,Kombi Doğalgaz,1.630.000TL,Kayseri - Kocasinan - Yenişehir Mahallesi,,,
78,13622425,26 Temmuz 2023,Satılık,120 M2,0 (Yeni),8,Boş,25 Temmuz 2023,Konut,103 M2,2.5+1,7.Kat,Merkezi (Pay Ölçer),1.775.000TL,Kayseri - Melikgazi - Battalgazi Mahallesi,Krediye Uygun Değil,,
79,13622178,25 Temmuz 2023,Satılık,165 M2,5-10,12,Boş,25 Temmuz 2023,Konut,155 M2,3+1,12.Kat,Merkezi Doğalgaz,1.730.000TL,Kayseri - Melikgazi - Esentepe Mahallesi,,,
80,13621760,29 Temmuz 2023,Satılık,180 M2,11-15,14,Kiracı Oturuyor,25 Temmuz 2023,Konut,140 M2,3+1,2.Kat,Merkezi Fueloil,2.800.000TL,Kayseri - Melikgazi - Gültepe Mahallesi,,,
81,13621626,25 Temmuz 2023,Satılık,165 M2,4,9,Boş,25 Temmuz 2023,Konut,145 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.799.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Krediye Uygun Değil,,
82,13621603,29 Temmuz 2023,Satılık,260 M2,16-20,14,Boş,25 Temmuz 2023,Konut,230 M2,4+1,12.Kat,Merkezi Fueloil,3.985.000TL,Kayseri - Melikgazi - Alpaslan Mahallesi,,,
83,13621242,25 Temmuz 2023,Satılık,117 M2,0 (Yeni),9,Boş,25 Temmuz 2023,Konut,94 M2,2+1,2.Kat,Merkezi Doğalgaz,287.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Krediye Uygun Değil,,
84,13620974,25 Temmuz 2023,Satılık,200 M2,3,17,Boş,25 Temmuz 2023,Konut,170 M2,4+1,17.Kat,Merkezi Doğalgaz,2.595.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,,
85,13620935,25 Temmuz 2023,Satılık,100 M2,0 (Yeni),8,Boş,25 Temmuz 2023,Konut,87 M2,2+1,4.Kat,Merkezi (Pay Ölçer),290.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Bilinmiyor,,
86,13620916,25 Temmuz 2023,Satılık,135 M2,0 (Yeni),12,Boş,25 Temmuz 2023,Konut,120 M2,4+1,1.Kat,Merkezi Doğalgaz,622.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil,,
87,13620119,28 Temmuz 2023,Satılık,145 M2,21 Ve Üzeri,7,Boş,25 Temmuz 2023,Konut,135 M2,3+1,7.Kat,Merkezi Doğalgaz,1.225.000TL,Kayseri - Melikgazi - Kılıçaslan Mahallesi,,,
88,13619681,25 Temmuz 2023,Satılık,185 M2,0 (Yeni),14,Boş,25 Temmuz 2023,Konut,138 M2,3+1,4.Kat,Merkezi Doğalgaz,2.349.000TL,Kayseri - Kocasinan - Saray Bosna Mahallesi,,,
89,13619678,25 Temmuz 2023,Satılık,170 M2,0 (Yeni),11,Boş,25 Temmuz 2023,Konut,130 M2,3+1,4.Kat,Merkezi (Pay Ölçer),2.249.000TL,Kayseri - Kocasinan - Zümrüt Mahallesi,,,
90,13619676,25 Temmuz 2023,Satılık,175 M2,0 (Yeni),10,Boş,25 Temmuz 2023,Konut,132 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.799.000TL,Kayseri - Melikgazi - Anbar Mahallesi,,,
91,13617413,29 Temmuz 2023,Satılık,100 M2,16-20,4,Kiracı Oturuyor,25 Temmuz 2023,Konut,85 M2,2+1,4.Kat,Kombi Doğalgaz,900.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,
92,13617409,29 Temmuz 2023,Satılık,155 M2,0 (Yeni),14,Boş,25 Temmuz 2023,Konut,120 M2,3+1,5.Kat,Merkezi Doğalgaz,395.000TL,Kayseri - Kocasinan - Cırgalan Mahallesi,Krediye Uygun Değil,,
93,13617363,27 Temmuz 2023,Satılık,165 M2,1,7,Boş,25 Temmuz 2023,Konut,135 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1.595.000TL,Kayseri - Kocasinan - Osmangazi Mahallesi,,,
94,13617362,27 Temmuz 2023,Satılık,185 M2,0 (Yeni),12,Boş,25 Temmuz 2023,Konut,132 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.900.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,
95,13617358,30 Temmuz 2023,Satılık,185 M2,1,14,Boş,25 Temmuz 2023,Konut,145 M2,3+1,9.Kat,Merkezi (Pay Ölçer),2.300.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,Krediye Uygun Değil,,
96,13616794,25 Temmuz 2023,Satılık,185 M2,0 (Yeni),7,Boş,25 Temmuz 2023,Konut,145 M2,3.5+1,6.Kat,Merkezi (Pay Ölçer),3.500.000TL,Kayseri - Melikgazi - Germir Mahallesi,,,
97,13616068,24 Temmuz 2023,Satılık,220 M2,5-10,10,Mülk Sahibi Oturuyor,24 Temmuz 2023,Konut,185 M2,4+1,9.Kat,Merkezi (Pay Ölçer),5.200.000TL,Kayseri - Melikgazi - Köşk Mahallesi,Krediye Uygun Değil,,
98,13616067,24 Temmuz 2023,Satılık,90 M2,3,16,Boş,24 Temmuz 2023,Konut,80 M2,2+1,1.Kat,Merkezi (Pay Ölçer),1.680.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,,
99,13616065,27 Temmuz 2023,Satılık,80 M2,2,3,Kiracı Oturuyor,24 Temmuz 2023,Konut,55 M2,1+1,2.Kat,Kombi Doğalgaz,1.170.000TL,Kayseri - Kocasinan - Şeker Mahallesi,Krediye Uygun Değil,,
100,13616062,24 Temmuz 2023,Satılık,160 M2,11-15,5,Mülk Sahibi Oturuyor,24 Temmuz 2023,Konut,120 M2,3+1,5.Kat,Kombi Doğalgaz,1.650.000TL,Kayseri - Kocasinan - General Emir Mahallesi,,,
101,13615374,26 Temmuz 2023,Satılık,160 M2,5-10,10,Kiracı Oturuyor,24 Temmuz 2023,Konut,145 M2,3+1,8.Kat,Merkezi Doğalgaz,2.850.000TL,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,,,
102,13614825,24 Temmuz 2023,Satılık,155 M2,16-20,12,Kiracı Oturuyor,24 Temmuz 2023,Konut,130 M2,3+1,7.Kat,Merkezi Doğalgaz,1.195.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
103,13614032,30 Temmuz 2023,Satılık,110 M2,0 (Yeni),4,Boş,24 Temmuz 2023,Konut,85 M2,2.5+1,Düz Giriş,Kombi Doğalgaz,1.600.000TL,Kayseri - Kocasinan - Yeni Mahallesi,,,
104,13614029,24 Temmuz 2023,Satılık,120 M2,0 (Yeni),7,Boş,24 Temmuz 2023,Konut,100 M2,3+0,1.Kat,Kombi Doğalgaz,1.445.000TL,Kayseri - Kocasinan - Şeker Mahallesi,,,
105,13613579,29 Temmuz 2023,Satılık,600 M2,0 (Yeni),2,Boş,24 Temmuz 2023,Konut,220 M2,4+1,Bahçe Dublex,Kombi Doğalgaz,6.500.000TL,Kayseri - Melikgazi - Gesi Mahallesi,,,
106,13613023,24 Temmuz 2023,Satılık,155 M2,16-20,14,Kiracı Oturuyor,24 Temmuz 2023,Konut,130 M2,3+1,6.Kat,Merkezi (Pay Ölçer),1.265.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
107,13612668,28 Temmuz 2023,Satılık,175 M2,0 (Yeni),14,Boş,24 Temmuz 2023,Konut,135 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1.900.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,
108,13612156,24 Temmuz 2023,Satılık,165 M2,11-15,14,Kiracı Oturuyor,24 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1.455.000TL,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,
109,13612057,29 Temmuz 2023,Satılık,155 M2,0 (Yeni),14,Boş,24 Temmuz 2023,Konut,120 M2,2+1,5.Kat,Merkezi Doğalgaz,265.000TL,Kayseri - Melikgazi - Tavlusun Mahallesi,Krediye Uygun Değil,,
