,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu
1015,12664990,24 Temmuz 2023,Satılık,185 M2,0 (Yeni),14,Boş,03 Şubat 2023,Konut,135 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.950.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
1016,12648260,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),9,Boş,01 Şubat 2023,Konut,120 M2,3+1,6.Kat,Merkezi (Pay Ölçer),2.000.000TL,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,,,
1017,12648155,30 Temmuz 2023,Satılık,160 M2,4,9,Mülk Sahibi Oturuyor,01 Şubat 2023,Konut,120 M2,2.5+1,4.Kat,Merkezi (Pay Ölçer),1.120.000TL,Kayseri - Melikgazi - Anbar Mahallesi,,,
1018,12635866,29 Temmuz 2023,Satılık,160 M2,5-10,13,Kiracı Oturuyor,31 Ocak 2023,Konut,120 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1.600.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
1019,12634347,31 Mayıs 2023,Satılık,210 M2,0 (Yeni),14,Boş,30 Ocak 2023,Konut,155 M2,4+1,4.Kat,Merkezi (Pay Ölçer),2.350.000TL,Kayseri - Kocasinan - Alsancak Mahallesi,,,
1020,12633138,28 Temmuz 2023,Satılık,150 M2,0 (Yeni),14,Boş,30 Ocak 2023,Konut,110 M2,3+1,14.Kat,Merkezi Doğalgaz,1.310.000TLarrow_downward%6,Kayseri - Kocasinan - Turgut Reis Mahallesi,,,
1021,12632463,29 Temmuz 2023,Satılık,200 M2,0 (Yeni),10,Boş,30 Ocak 2023,Konut,149 M2,4+1,7.Kat,Merkezi (Pay Ölçer),1.800.000TL,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,
1022,12628646,04 Temmuz 2023,Satılık,165 M2,0 (Yeni),8,Boş,30 Ocak 2023,Konut,140 M2,3+1,1.Kat,Kombi Doğalgaz,1.475.000TL,Kayseri - Kocasinan - Yavuzlar Mahallesi,,,
1023,12626977,28 Temmuz 2023,Satılık,170 M2,4,12,Kiracı Oturuyor,30 Ocak 2023,Konut,130 M2,3+1,10.Kat,Merkezi (Pay Ölçer),1.600.000TL,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,
1024,12620151,20 Temmuz 2023,Satılık,175 M2,0 (Yeni),10,Boş,28 Ocak 2023,Konut,130 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1.890.000TL,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,
