Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,Şehir,İlçe,Mahalle
2,13,1,0,130,7,8,7,1525000,0,4,48
3,9,1,0,135,7,1,6,1375000,0,4,48
8,13,0,0,165,7,1,6,1565000,0,4,48
2,9,2,0,120,7,1,7,1375000,0,4,48
2,14,1,0,140,7,1,6,1550000,0,4,135
7,12,0,0,145,7,2,6,1620000,0,4,48
7,8,2,0,130,7,1,6,1300000,0,3,16
0,14,0,0,155,11,2,6,3700000,0,4,48
8,9,2,0,130,7,1,5,1650000,0,3,2
0,5,0,0,100,7,0,6,1550000,0,4,110
2,9,1,0,135,7,1,7,1350000,0,3,92
0,12,0,0,145,7,1,6,1850000,0,4,124
0,10,0,0,100,6,1,6,1700000,0,3,20
5,5,2,0,120,4,1,5,1200000,0,3,96
4,14,2,0,135,7,1,6,2075000,0,4,15
5,3,1,0,100,4,1,5,1250000,0,4,11
0,12,0,0,135,7,1,6,1850000,0,4,110
0,14,0,0,138,9,1,7,2349000,0,3,131
0,11,0,0,130,7,1,7,2249000,0,3,131
8,14,0,0,145,7,2,7,1485000,0,4,48
8,12,1,0,140,7,1,6,1650000,0,3,88
0,5,1,0,140,7,1,7,1960000,0,4,138
8,14,0,0,230,11,1,6,7850000,0,4,127
0,9,0,0,70,4,8,6,1090000,0,3,137
5,2,2,0,165,7,1,5,1250000,0,4,91
8,14,1,0,100,4,2,7,1465000,0,4,124
8,3,1,0,65,4,1,6,760000,0,4,31
8,11,2,0,155,7,1,7,1485000,0,4,51
5,2,0,0,250,7,8,9,2695000,0,4,83
2,8,2,0,135,7,1,5,1575000,0,4,31
8,7,0,0,130,7,1,7,1550000,0,4,76
0,11,0,0,130,7,1,7,2250000,0,3,65
8,13,0,0,160,11,2,6,3440000,0,3,114
0,10,0,0,132,7,1,7,1799000,0,4,9
8,14,0,0,165,11,1,7,2990000,0,3,16
6,17,1,0,70,4,1,7,1790000,0,3,96
8,9,1,0,130,7,1,7,1460000,0,4,127
4,17,1,0,130,7,1,7,2095000,0,3,96
7,2,0,0,190,14,3,5,5150000,0,4,7
7,14,0,0,183,11,2,6,5750000,0,3,113
0,14,0,0,135,7,1,6,1970000,0,3,131
7,3,0,0,250,26,7,5,12500000,0,4,19
8,6,2,0,135,7,1,6,1975000,0,4,74
5,15,2,0,170,11,1,6,2480000,0,3,114
2,11,0,0,90,5,1,7,1295000,0,4,74
7,10,1,0,115,4,1,6,1275000,0,4,17
8,12,2,0,145,7,1,6,1325000,0,3,20
8,11,0,0,90,5,1,7,1295000,0,4,74
0,12,0,0,110,4,1,6,300000,0,3,2
2,10,0,0,125,7,1,7,1190000,0,4,112
7,11,0,0,130,7,1,7,1650000,0,4,15
5,4,2,0,135,7,1,7,1350000,0,4,91
8,2,0,0,95,0,8,2,1130000,0,4,38
0,5,0,0,90,4,1,6,1400000,0,3,94
3,15,2,0,110,7,2,7,965000,0,4,138
8,8,1,0,150,7,1,7,1550000,0,3,99
2,3,0,0,500,23,7,5,22750000,0,4,34
8,12,2,0,180,7,2,6,1550000,0,4,15
0,3,0,0,270,21,3,10,15500000,0,4,34
0,12,0,0,135,7,1,7,1850000,0,4,87
5,7,1,0,100,7,8,5,780000,0,4,112
0,9,0,0,85,4,1,7,295000,0,3,2
0,14,0,0,165,7,2,7,1850000,0,4,112
0,9,0,0,80,4,1,5,1345000,0,3,137
2,9,0,0,75,1,1,5,825000,0,4,104
8,10,1,0,145,7,1,7,1800000,0,4,9
8,10,2,0,125,7,1,7,1580000,0,3,2
8,1,0,0,60,2,7,1,2250000,0,4,19
0,6,0,0,115,7,1,5,1700000,0,4,67
6,2,2,0,320,20,8,5,13750000,0,4,19
3,10,2,0,170,7,1,6,3050000,0,4,5
8,14,1,0,100,4,2,7,1470000,0,4,124
8,11,2,0,150,7,1,6,1530000,0,4,31
8,12,2,0,150,7,1,7,3500000,0,4,81
3,8,1,0,80,7,1,6,910000,0,4,8
3,15,1,0,100,7,1,6,920000,0,4,138
5,2,2,0,150,7,4,9,1725000,0,3,101
7,12,2,0,135,7,1,7,1650000,0,3,35
5,1,0,0,640,1,8,9,945000,0,3,101
4,6,2,0,135,7,1,6,1600000,0,4,135
6,3,2,0,200,28,1,5,15000000,0,4,34
0,3,0,0,185,16,6,5,6500000,0,4,39
0,9,0,0,145,7,1,6,2550000,0,4,7
8,9,1,0,130,7,1,7,1350000,0,3,2
6,4,0,0,200,11,1,6,2350000,0,4,124
1,14,0,0,100,5,1,6,1750000,0,3,130
4,14,0,0,145,9,1,6,2295000,0,3,20
2,6,2,0,80,4,1,5,1065000,0,4,31
8,8,1,0,135,7,1,5,1545000,0,4,135
1,12,2,0,130,7,1,6,1440000,0,3,20
1,10,0,0,138,7,1,6,1755000,0,3,65
0,14,0,0,260,11,1,6,8500000,0,4,54
0,2,0,0,160,9,7,5,6750000,0,4,48
2,9,0,0,130,7,1,6,1250000,0,4,112
0,14,0,0,260,11,1,6,9250000,0,4,54
0,12,0,0,240,16,1,6,7500000,0,4,127
8,9,1,0,135,7,1,5,1495000,0,4,38
0,12,0,0,130,7,1,6,850000,0,4,124
5,10,2,0,110,7,8,5,1175000,0,4,135
0,10,0,0,125,7,1,6,2050000,0,3,88
1,11,0,0,135,7,1,7,1525000,0,4,124
8,8,2,0,140,7,1,6,1675000,0,3,10
3,9,1,0,125,7,1,7,1265000,0,3,20
0,14,0,0,155,7,1,6,2000000,0,3,29
7,4,1,0,95,4,1,6,1199000,0,4,124
5,14,1,0,240,11,1,7,3550000,0,4,5
6,11,1,0,135,7,1,6,2090000,0,4,0
5,2,2,0,140,11,8,5,2900000,0,4,64
5,4,2,0,100,4,8,5,865000,0,4,11
7,2,0,0,200,9,8,5,7250000,0,4,39
3,12,1,0,130,7,1,7,1349999,0,4,15
8,11,0,0,120,7,1,6,1700000,0,4,15
7,13,2,0,130,7,1,6,2305000,0,4,120
0,7,0,0,90,4,1,7,1325000,0,4,38
6,12,0,0,110,7,1,6,1850000,0,4,74
8,3,0,0,250,20,8,5,7000000,0,4,19
8,3,1,0,480,4,8,9,2200000,0,4,104
3,3,2,0,125,7,1,5,1300000,0,3,43
2,11,2,0,145,7,1,7,2950000,0,4,81
8,12,0,0,130,7,1,8,2410000,0,4,81
0,10,0,0,115,4,1,6,1425000,0,4,124
0,10,0,0,75,4,1,6,1300000,0,3,137
8,7,0,0,130,7,1,7,1290000,0,4,15
5,5,1,0,90,7,1,5,925000,0,4,120
8,8,0,0,140,7,1,6,2625000,0,3,33
3,4,2,0,150,7,1,5,1275000,0,3,88
7,14,2,0,200,11,2,6,4350000,0,4,127
