Unnamed: 0,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk,Yapı Durumu,Şehir,İlçe,Mahalle
345,13490442,20 Temmuz 2023,Satılık,165 M2,11-15,10,Mülk Sahibi Oturuyor,29 Haziran 2023,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz,1250000,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,,Kayseri,Kocasinan,Beyazşehir Mahallesi
346,13489698,29 Haziran 2023,Satılık,185 M2,5-10,12,Boş,29 Haziran 2023,Konut,140 M2,3+1,2.Kat,Merkezi (Pay Ölçer),2275000,Kayseri - Melikgazi - Sakarya Mahallesi,,,,Kayseri,Melikgazi,Sakarya Mahallesi
347,13489092,24 Temmuz 2023,Satılık,145 M2,16-20,4,Mülk Sahibi Oturuyor,28 Haziran 2023,Konut,130 M2,3+1,4.Kat,Kombi Doğalgaz,1350000,Kayseri - Kocasinan - Yenidoğan Mahallesi,,,,Kayseri,Kocasinan,Yenidoğan Mahallesi
348,13487747,27 Haziran 2023,Satılık,246 M2,16-20,12,Mülk Sahibi Oturuyor,27 Haziran 2023,Konut,220 M2,4+1,4.Kat,Merkezi Doğalgaz,2489000,Kayseri - Kocasinan - Erciyesevler Mahallesi,,,,Kayseri,Kocasinan,Erciyesevler Mahallesi
349,13487729,05 Temmuz 2023,Satılık,400 M2,0 (Yeni),3,Boş,27 Haziran 2023,Konut,350 M2,8+1,Düz Giriş,Kombi Doğalgaz,4850000,Kayseri - Kocasinan - Buğdaylı Mahallesi,,,,Kayseri,Kocasinan,Buğdaylı Mahallesi
350,13487727,28 Haziran 2023,Satılık,220 M2,0 (Yeni),2,Boş,27 Haziran 2023,Konut,200 M2,4+1,Düz Giriş,Yerden Isıtma,14550000,Kayseri - Melikgazi - Becen Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Becen Mahallesi
351,13487723,28 Haziran 2023,Satılık,215 M2,0 (Yeni),14,Boş,27 Haziran 2023,Konut,155 M2,4+1,1.Kat,Merkezi (Pay Ölçer),2600000,Kayseri - Kocasinan - Alsancak Mahallesi,,,,Kayseri,Kocasinan,Alsancak Mahallesi
352,13487716,28 Haziran 2023,Satılık,175 M2,0 (Yeni),14,Boş,27 Haziran 2023,Konut,140 M2,3+1,2.Kat,Merkezi (Pay Ölçer),2240000,Kayseri - Kocasinan - Seyrani Mahallesi,,,,Kayseri,Kocasinan,Seyrani Mahallesi
353,13487702,27 Haziran 2023,Satılık,150 M2,16-20,3,Kiracı Oturuyor,27 Haziran 2023,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz,1100000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,,,,Kayseri,Kocasinan,Fevzi Çakmak Mahallesi
354,13483800,26 Haziran 2023,Satılık,195 M2,0 (Yeni),2,Boş,26 Haziran 2023,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9050000,Kayseri - Melikgazi - Becen Mahallesi,,,,Kayseri,Melikgazi,Becen Mahallesi
355,13483788,26 Haziran 2023,Satılık,195 M2,0 (Yeni),2,Boş,26 Haziran 2023,Konut,165 M2,5+1,Villa Tipi,Kombi Doğalgaz,9000000,Kayseri - Melikgazi - Becen Mahallesi,,,,Kayseri,Melikgazi,Becen Mahallesi
356,13483670,29 Temmuz 2023,Satılık,140 M2,21 Ve Üzeri,3,Kiracı Oturuyor,26 Haziran 2023,Konut,130 M2,3+1,3.Kat,Kombi Doğalgaz,1250000,Kayseri - Melikgazi - Keykubat Mahallesi,,,,Kayseri,Melikgazi,Keykubat Mahallesi
357,13483486,08 Temmuz 2023,Satılık,210 M2,21 Ve Üzeri,8,Kiracı Oturuyor,26 Haziran 2023,Konut,190 M2,3+1,1.Kat,Merkezi Doğalgaz,1749000,Kayseri - Kocasinan - Sahabiye Mahallesi,,,,Kayseri,Kocasinan,Sahabiye Mahallesi
358,13483291,19 Temmuz 2023,Satılık,425 M2,0 (Yeni),2,Boş,26 Haziran 2023,Konut,220 M2,4+1,Düz Giriş,Kombi Doğalgaz,5950000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
359,13483289,30 Temmuz 2023,Satılık,130 M2,16-20,7,Kiracı Oturuyor,26 Haziran 2023,Konut,110 M2,3+1,5.Kat,Kombi Doğalgaz,1365000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,Beyazşehir Mahallesi
360,13483103,26 Haziran 2023,Satılık,200 M2,0 (Yeni),8,Boş,26 Haziran 2023,Konut,140 M2,4+1,4.Kat,Merkezi Doğalgaz,3300000,Kayseri - Kocasinan - Sancaktepe Mahallesi,,,,Kayseri,Kocasinan,Sancaktepe Mahallesi
361,13483015,26 Haziran 2023,Satılık,128 M2,21 Ve Üzeri,9,Mülk Sahibi Oturuyor,26 Haziran 2023,Konut,105 M2,3+1,Yüksek Giriş,Merkezi Doğalgaz,1200000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
362,13482593,06 Temmuz 2023,Satılık,225 M2,16-20,1,Kiracı Oturuyor,26 Haziran 2023,Konut,200 M2,5+0,Düz Giriş,Sobalı,3400000,Kayseri - Kocasinan - Kızık Mahallesi,,,,Kayseri,Kocasinan,Kızık Mahallesi
363,13482181,25 Temmuz 2023,Satılık,165 M2,5-10,10,Kiracı Oturuyor,26 Haziran 2023,Konut,130 M2,3+1,1.Kat,Merkezi Doğalgaz,1185000,Kayseri - Melikgazi - Germir Mahallesi,,,,Kayseri,Melikgazi,Germir Mahallesi
364,13481471,26 Haziran 2023,Satılık,320 M2,5-10,12,Boş,26 Haziran 2023,Konut,319 M2,5+3,12.Kat,Merkezi (Pay Ölçer),4700000,Kayseri - Melikgazi - Alpaslan Mahallesi,,,,Kayseri,Melikgazi,Alpaslan Mahallesi
365,13481239,25 Haziran 2023,Satılık,175 M2,11-15,14,Kiracı Oturuyor,25 Haziran 2023,Konut,135 M2,3+1,2.Kat,Kombi Doğalgaz,1400000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,30 Ağustos Mahallesi
366,13481238,26 Haziran 2023,Satılık,175 M2,11-15,14,Kiracı Oturuyor,25 Haziran 2023,Konut,130 M2,3+1,2.Kat,Kombi Doğalgaz,1400000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,30 Ağustos Mahallesi
367,13480790,25 Haziran 2023,Satılık,160 M2,11-15,8,Mülk Sahibi Oturuyor,25 Haziran 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1455000,Kayseri - Melikgazi - Kocatepe Mahallesi,,,,Kayseri,Melikgazi,Kocatepe Mahallesi
368,13480748,25 Haziran 2023,Satılık,150 M2,21 Ve Üzeri,3,Kiracı Oturuyor,25 Haziran 2023,Konut,125 M2,3+1,3.Kat,Sobalı,1315000,Kayseri - Kocasinan - Sahabiye Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,Sahabiye Mahallesi
369,13478907,17 Temmuz 2023,Satılık,110 M2,5-10,10,Mülk Sahibi Oturuyor,25 Haziran 2023,Konut,100 M2,2+1,1.Kat,Merkezi (Pay Ölçer),1120000,Kayseri - Melikgazi - Esenyurt Mahallesi,,,,Kayseri,Melikgazi,Esenyurt Mahallesi
370,13478860,29 Temmuz 2023,Satılık,220 M2,5-10,14,Mülk Sahibi Oturuyor,25 Haziran 2023,Konut,170 M2,4+1,13.Kat,Merkezi (Pay Ölçer),4150000,Kayseri - Melikgazi - Gültepe Mahallesi,,,,Kayseri,Melikgazi,Gültepe Mahallesi
371,13478350,25 Haziran 2023,Satılık,239 M2,0 (Yeni),2,Boş,25 Haziran 2023,Konut,200 M2,4+1,Düz Giriş,Kombi Doğalgaz,7000000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
372,13478349,25 Haziran 2023,Satılık,184 M2,0 (Yeni),14,Boş,25 Haziran 2023,Konut,135 M2,3.5+1,2.Kat,Merkezi (Pay Ölçer),2050000,Kayseri - Kocasinan - Zümrüt Mahallesi,,,,Kayseri,Kocasinan,Zümrüt Mahallesi
373,13478348,22 Temmuz 2023,Satılık,165 M2,0 (Yeni),7,Kiracı Oturuyor,25 Haziran 2023,Konut,145 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1500000,Kayseri - Kocasinan - Osmangazi Mahallesi,,,,Kayseri,Kocasinan,Osmangazi Mahallesi
374,13478347,26 Haziran 2023,Satılık,185 M2,0 (Yeni),8,Boş,25 Haziran 2023,Konut,155 M2,4+1,4.Kat,Merkezi (Pay Ölçer),1920000,Kayseri - Melikgazi - Şirintepe Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Şirintepe Mahallesi
375,13478345,22 Temmuz 2023,Satılık,175 M2,0 (Yeni),14,Boş,25 Haziran 2023,Konut,155 M2,3+1,1.Kat,Merkezi Doğalgaz,1750000,Kayseri - Melikgazi - Esentepe Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Esentepe Mahallesi
376,13477905,25 Haziran 2023,Satılık,165 M2,0 (Yeni),4,Boş,25 Haziran 2023,Konut,120 M2,3+1,3.Kat,Merkezi (Pay Ölçer),1575000,Kayseri - Kocasinan - Şeker Mahallesi,,,,Kayseri,Kocasinan,Şeker Mahallesi
377,13476940,24 Haziran 2023,Satılık,550 M2,5-10,4,Boş,24 Haziran 2023,Konut,500 M2,6+1,Düz Giriş,Yerden Isıtma,18250000,Kayseri - Melikgazi - Erenköy Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Erenköy Mahallesi
378,13474366,03 Temmuz 2023,Satılık,190 M2,5-10,15,Boş,24 Haziran 2023,Konut,165 M2,3+1,5.Kat,Merkezi Doğalgaz,1850000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,,,,Kayseri,Melikgazi,Tacettin Veli Mahallesi
379,13473183,29 Temmuz 2023,Satılık,185 M2,5-10,15,Mülk Sahibi Oturuyor,24 Haziran 2023,Konut,155 M2,3+1,1.Kat,Kombi Doğalgaz,1472000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
380,13473010,08 Temmuz 2023,Satılık,160 M2,0 (Yeni),10,Boş,24 Haziran 2023,Konut,115 M2,2+1,5.Kat,Kombi Doğalgaz,300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,,,,Kayseri,Kocasinan,Ahi Evran Mahallesi
381,13472627,24 Haziran 2023,Satılık,180 M2,5-10,13,Boş,24 Haziran 2023,Konut,160 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
382,13471667,23 Haziran 2023,Satılık,250 M2,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,23 Haziran 2023,Konut,200 M2,3+1,Düz Giriş,Isıtma Yok,19500000,Kayseri - Melikgazi - Hisarcık Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Hisarcık Mahallesi
383,13471665,23 Haziran 2023,Satılık,250 M2,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,23 Haziran 2023,Konut,200 M2,3+1,Düz Giriş,Isıtma Yok,28500000,Kayseri - Melikgazi - Hisarcık Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Hisarcık Mahallesi
384,13470668,28 Temmuz 2023,Satılık,165 M2,4,4,Kiracı Oturuyor,23 Haziran 2023,Konut,124 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1410000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Bahçelievler Mahallesi
385,13469774,24 Temmuz 2023,Satılık,5.000 M2,21 Ve Üzeri,3,Boş,23 Haziran 2023,Konut,290 M2,6+1,Müstakil.Kat,Sobalı,5100000,Kayseri - Kocasinan - Saraycık Mahallesi,Bilinmiyor,,,Kayseri,Kocasinan,Saraycık Mahallesi
386,13468826,23 Haziran 2023,Satılık,165 M2,2,12,Kiracı Oturuyor,23 Haziran 2023,Konut,135 M2,3+1,6.Kat,Merkezi (Pay Ölçer),1570000,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,,Kayseri,Melikgazi,Bahçelievler Mahallesi
387,13467088,22 Haziran 2023,Satılık,210 M2,5-10,8,Kiracı Oturuyor,22 Haziran 2023,Konut,190 M2,4+1,8.Kat,Yerden Isıtma,2325000,Kayseri - Kocasinan - Yakut Mahallesi,,,,Kayseri,Kocasinan,Yakut Mahallesi
388,13463613,22 Haziran 2023,Satılık,185 M2,2,14,Kiracı Oturuyor,22 Haziran 2023,Konut,145 M2,3.5+1,1.Kat,Merkezi (Pay Ölçer),1510000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
389,13463514,28 Temmuz 2023,Satılık,175 M2,0 (Yeni),6,Boş,22 Haziran 2023,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1850000,Kayseri - Melikgazi - Demokrasi Mahallesi,,,,Kayseri,Melikgazi,Demokrasi Mahallesi
390,13462777,22 Haziran 2023,Satılık,130 M2,16-20,4,Kiracı Oturuyor,22 Haziran 2023,Konut,100 M2,3+1,2.Kat,Kombi Doğalgaz,995000,Kayseri - Melikgazi - Tınaztepe Mahallesi,,,,Kayseri,Melikgazi,Tınaztepe Mahallesi
391,13461780,05 Temmuz 2023,Satılık,200 M2,0 (Yeni),13,Boş,22 Haziran 2023,Konut,160 M2,4+1,8.Kat,Merkezi (Pay Ölçer),2450000,Kayseri - Kocasinan - Seyrani Mahallesi,,,,Kayseri,Kocasinan,Seyrani Mahallesi
392,13461774,22 Haziran 2023,Satılık,200 M2,0 (Yeni),2,Boş,22 Haziran 2023,Konut,150 M2,4+1,Düz Giriş,Kombi Doğalgaz,6100000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
393,13461770,22 Haziran 2023,Satılık,160 M2,0 (Yeni),13,Boş,22 Haziran 2023,Konut,130 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,Ertuğrul Gazi Mahallesi
394,13461036,22 Haziran 2023,Satılık,500 M2,16-20,1,Kiracı Oturuyor,21 Haziran 2023,Konut,428 M2,3+1,Düz Giriş,Sobalı,1700000,Kayseri - Kocasinan - Uğurevler Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,Uğurevler Mahallesi
395,13460963,22 Haziran 2023,Satılık,250 M2,2,2,Mülk Sahibi Oturuyor,21 Haziran 2023,Konut,200 M2,5+1,Düz Giriş,Kombi Doğalgaz,6799000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
396,13460959,18 Temmuz 2023,Satılık,500 M2,5-10,2,Mülk Sahibi Oturuyor,21 Haziran 2023,Konut,190 M2,3+2,Düz Giriş,Kombi Doğalgaz,7750000,Kayseri - Melikgazi - Eğribucak Mahallesi,,,,Kayseri,Melikgazi,Eğribucak Mahallesi
397,13460363,23 Haziran 2023,Satılık,165 M2,0 (Yeni),14,Boş,21 Haziran 2023,Konut,130 M2,4+1,5.Kat,Merkezi (Pay Ölçer),600000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Yeşilyurt Mahallesi
398,13460066,24 Temmuz 2023,Satılık,225 M2,0 (Yeni),14,Boş,21 Haziran 2023,Konut,175 M2,4.5+1,2.Kat,Merkezi (Pay Ölçer),4250000,Kayseri - Kocasinan - Yakut Mahallesi,,,,Kayseri,Kocasinan,Yakut Mahallesi
399,13459668,21 Haziran 2023,Satılık,230 M2,0 (Yeni),1,Boş,21 Haziran 2023,Konut,180 M2,4+1,Düz Giriş,Kombi Doğalgaz,5800000,Kayseri - Melikgazi - Gesi Mahallesi,Bilinmiyor,,,Kayseri,Melikgazi,Gesi Mahallesi
400,13459622,21 Haziran 2023,Satılık,100 M2,21 Ve Üzeri,3,Boş,21 Haziran 2023,Konut,80 M2,3+1,Tam Bodrum.Kat,Sobalı,580000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,Mimarsinan Mahallesi
401,13454628,20 Haziran 2023,Satılık,175 M2,0 (Yeni),6,Boş,20 Haziran 2023,Konut,125 M2,3+1,1.Kat,Kombi Doğalgaz,1499000,Kayseri - Kocasinan - General Emir Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,General Emir Mahallesi
402,13454579,20 Haziran 2023,Satılık,130 M2,11-15,9,Mülk Sahibi Oturuyor,20 Haziran 2023,Konut,110 M2,3+1,5.Kat,Merkezi (Pay Ölçer),1275000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
403,13454354,04 Temmuz 2023,Satılık,140 M2,0 (Yeni),12,Boş,20 Haziran 2023,Konut,125 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1800000,Kayseri - Kocasinan - Seyrani Mahallesi,,,,Kayseri,Kocasinan,Seyrani Mahallesi
404,13453544,25 Temmuz 2023,Satılık,135 M2,21 Ve Üzeri,4,Kiracı Oturuyor,20 Haziran 2023,Konut,100 M2,3+1,2.Kat,Kombi Doğalgaz,1750000,Kayseri - Melikgazi - Esenyurt Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Esenyurt Mahallesi
405,13453414,21 Haziran 2023,Satılık,165 M2,21 Ve Üzeri,8,Kiracı Oturuyor,20 Haziran 2023,Konut,145 M2,3+1,5.Kat,Merkezi Doğalgaz,1850000,Kayseri - Kocasinan - Erciyesevler Mahallesi,,,,Kayseri,Kocasinan,Erciyesevler Mahallesi
406,13453078,20 Haziran 2023,Satılık,175 M2,0 (Yeni),14,Boş,20 Haziran 2023,Konut,140 M2,3+1,6.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,,,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
407,13453067,20 Haziran 2023,Satılık,175 M2,5-10,11,Kiracı Oturuyor,20 Haziran 2023,Konut,135 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1695000,Kayseri - Kocasinan - Uğurevler Mahallesi,,,,Kayseri,Kocasinan,Uğurevler Mahallesi
408,13451393,20 Haziran 2023,Satılık,280 M2,16-20,14,Boş,20 Haziran 2023,Konut,220 M2,4+1,6.Kat,Kombi Doğalgaz,3350000,Kayseri - Melikgazi - Gültepe Mahallesi,,,,Kayseri,Melikgazi,Gültepe Mahallesi
409,13450210,29 Temmuz 2023,Satılık,155 M2,0 (Yeni),10,Boş,20 Haziran 2023,Konut,130 M2,2.5+1,6.Kat,Merkezi Doğalgaz,1065000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,,Kayseri,Melikgazi,Yeşilyurt Mahallesi
410,13449555,06 Temmuz 2023,Satılık,145 M2,16-20,5,Mülk Sahibi Oturuyor,20 Haziran 2023,Konut,110 M2,2+1,5.Kat,Sobalı,660000,Kayseri - Kocasinan - Sanayi Mahallesi,,,,Kayseri,Kocasinan,Sanayi Mahallesi
411,13448909,20 Haziran 2023,Satılık,100 M2,2,16,Boş,20 Haziran 2023,Konut,90 M2,2+1,4.Kat,Merkezi (Pay Ölçer),1395000,Kayseri - Kocasinan - Sahabiye Mahallesi,,,,Kayseri,Kocasinan,Sahabiye Mahallesi
412,13448906,20 Haziran 2023,Satılık,150 M2,5-10,12,Mülk Sahibi Oturuyor,20 Haziran 2023,Konut,110 M2,3+1,12.Kat,Merkezi Doğalgaz,1950000,Kayseri - Melikgazi - Altınoluk Mahallesi,,,,Kayseri,Melikgazi,Altınoluk Mahallesi
413,13448905,15 Temmuz 2023,Satılık,175 M2,4,14,Boş,20 Haziran 2023,Konut,130 M2,3+1,11.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,Yavuzlar Mahallesi
414,13448904,22 Haziran 2023,Satılık,120 M2,0 (Yeni),2,Boş,20 Haziran 2023,Konut,100 M2,3+1,Düz Giriş,Sobalı,2400000,Kayseri - Kocasinan - Buğdaylı Mahallesi,,,,Kayseri,Kocasinan,Buğdaylı Mahallesi
415,13448900,20 Haziran 2023,Satılık,185 M2,0 (Yeni),2,Boş,20 Haziran 2023,Konut,130 M2,4+1,Düz Giriş,Kombi Doğalgaz,8600000,Kayseri - Melikgazi - Erenköy Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,Erenköy Mahallesi
416,13448472,19 Haziran 2023,Satılık,160 M2,0 (Yeni),6,Boş,19 Haziran 2023,Konut,130 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,1100000,Kayseri - Melikgazi - Fatih Mahallesi,,,,Kayseri,Melikgazi,Fatih Mahallesi
417,13448249,19 Haziran 2023,Satılık,170 M2,21 Ve Üzeri,12,Boş,19 Haziran 2023,Konut,135 M2,3+1,4.Kat,Yerden Isıtma,1500000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Krediye Uygun Değil,,,Kayseri,Melikgazi,30 Ağustos Mahallesi
418,13448247,21 Temmuz 2023,Satılık,130 M2,16-20,8,Mülk Sahibi Oturuyor,19 Haziran 2023,Konut,110 M2,3+1,6.Kat,Kombi Doğalgaz,1150000,Kayseri - Melikgazi - Battalgazi Mahallesi,,,,Kayseri,Melikgazi,Battalgazi Mahallesi
419,13447830,19 Haziran 2023,Satılık,100 M2,0 (Yeni),10,Boş,19 Haziran 2023,Konut,85 M2,2+1,9.Kat,Merkezi Doğalgaz,300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Krediye Uygun Değil,,,Kayseri,Kocasinan,Ahi Evran Mahallesi
420,13447405,19 Haziran 2023,Satılık,165 M2,5-10,6,Boş,19 Haziran 2023,Konut,130 M2,3+1,1.Kat,Kombi Doğalgaz,1350000,Kayseri - Melikgazi - Battalgazi Mahallesi,,,,Kayseri,Melikgazi,Battalgazi Mahallesi
421,13446261,07 Temmuz 2023,Satılık,330 M2,5-10,3,Boş,19 Haziran 2023,Konut,329 M2,1 Oda,,Isıtma Yok,1820000,Kayseri - Melikgazi - Danişmend Gazi Mahallesi,Krediye Uygun,Bilinmiyor,,Kayseri,Melikgazi,Danişmend Gazi Mahallesi
422,13446170,19 Haziran 2023,Satılık,170 M2,0 (Yeni),10,Boş,19 Haziran 2023,Konut,135 M2,3+1,1.Kat,Merkezi Doğalgaz,1800000,Kayseri - Kocasinan - Zümrüt Mahallesi,,,,Kayseri,Kocasinan,Zümrüt Mahallesi
423,13446023,19 Haziran 2023,Satılık,210 M2,0 (Yeni),12,Boş,19 Haziran 2023,Konut,190 M2,4+1,4.Kat,Merkezi (Pay Ölçer),2500000,Kayseri - Kocasinan - Yakut Mahallesi,,,,Kayseri,Kocasinan,Yakut Mahallesi
424,13445766,04 Temmuz 2023,Satılık,135 M2,0 (Yeni),8,Boş,19 Haziran 2023,Konut,110 M2,3+1,1.Kat,Kombi Doğalgaz,1850000,Kayseri - Kocasinan - Yavuzlar Mahallesi,,,,Kayseri,Kocasinan,Yavuzlar Mahallesi
425,13441897,29 Temmuz 2023,Satılık,85 M2,5-10,3,Mülk Sahibi Oturuyor,18 Haziran 2023,Konut,65 M2,2+1,2.Kat,Merkezi (Pay Ölçer),820000,Kayseri - Melikgazi - Demokrasi Mahallesi,,,,Kayseri,Melikgazi,Demokrasi Mahallesi
426,13441896,29 Temmuz 2023,Satılık,125 M2,0 (Yeni),13,Boş,18 Haziran 2023,Konut,95 M2,2+1,12.Kat,Merkezi (Pay Ölçer),1400000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,,,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
427,13441895,29 Temmuz 2023,Satılık,150 M2,0 (Yeni),8,Boş,18 Haziran 2023,Konut,145 M2,3+1,Çatı Katı,Merkezi Doğalgaz,1670000,Kayseri - Melikgazi - Gökkent Mahallesi,,,,Kayseri,Melikgazi,Gökkent Mahallesi
428,13441892,29 Temmuz 2023,Satılık,170 M2,0 (Yeni),14,Boş,18 Haziran 2023,Konut,130 M2,3+1,12.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Melikgazi - Bahçelievler Mahallesi,,,,Kayseri,Melikgazi,Bahçelievler Mahallesi
429,13441889,29 Temmuz 2023,Satılık,55 M2,5-10,3,Boş,18 Haziran 2023,Konut,50 M2,1+1,2.Kat,Kombi Doğalgaz,649000,Kayseri - Melikgazi - Demokrasi Mahallesi,,,,Kayseri,Melikgazi,Demokrasi Mahallesi
430,13441888,29 Temmuz 2023,Satılık,185 M2,3,14,Boş,18 Haziran 2023,Konut,180 M2,3+1,7.Kat,Merkezi Doğalgaz,1800000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,,,,Kayseri,Melikgazi,Yeşilyurt Mahallesi
431,13441296,19 Haziran 2023,Satılık,380 M2,5-10,13,Boş,18 Haziran 2023,Konut,315 M2,6+2,13.Kat,Yerden Isıtma,5950000,Kayseri - Melikgazi - Germir Mahallesi,,,,Kayseri,Melikgazi,Germir Mahallesi
432,13441294,18 Haziran 2023,Satılık,210 M2,0 (Yeni),14,Boş,18 Haziran 2023,Konut,153 M2,4+1,2.Kat,Merkezi (Pay Ölçer),3699000,Kayseri - Kocasinan - Yakut Mahallesi,,,,Kayseri,Kocasinan,Yakut Mahallesi
433,13441292,18 Haziran 2023,Satılık,160 M2,4,8,Mülk Sahibi Oturuyor,18 Haziran 2023,Konut,140 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Kocasinan - Ahi Evran Mahallesi,,,,Kayseri,Kocasinan,Ahi Evran Mahallesi
434,13440901,29 Temmuz 2023,Satılık,450 M2,11-15,4,Mülk Sahibi Oturuyor,18 Haziran 2023,Konut,440 M2,2+1,Bahçe Dublex,Kombi Doğalgaz,3150000,Kayseri - Melikgazi - Danişmend Gazi Mahallesi,,,,Kayseri,Melikgazi,Danişmend Gazi Mahallesi
435,13440238,28 Temmuz 2023,Satılık,280 M2,5-10,13,Kiracı Oturuyor,18 Haziran 2023,Konut,230 M2,4+1,11.Kat,Merkezi Doğalgaz,7600000,Kayseri - Melikgazi - Köşk Mahallesi,,,,Kayseri,Melikgazi,Köşk Mahallesi
436,13440042,29 Temmuz 2023,Satılık,250 M2,5-10,11,Boş,18 Haziran 2023,Konut,200 M2,5+2,11.Kat,Kombi Doğalgaz,2350000,Kayseri - Melikgazi - Altınoluk Mahallesi,,,,Kayseri,Melikgazi,Altınoluk Mahallesi
437,13438726,27 Temmuz 2023,Satılık,185 M2,0 (Yeni),10,Boş,18 Haziran 2023,Konut,140 M2,3+2,2.Kat,Merkezi (Pay Ölçer),2090000,Kayseri - Kocasinan - Beyazşehir Mahallesi,,,,Kayseri,Kocasinan,Beyazşehir Mahallesi
