Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
200 M2,0 (Yeni),14,Boş,Konut,155 M2,4+1,3.Kat,Merkezi (Pay Ölçer),2750000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,Kocasinan,Zümrüt Mahallesi
150 M2,11-15,7,Boş,Konut,130 M2,3+1,7.Kat,Merkezi (Pay Ölçer),1280000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,Melikgazi,Bahçelievler Mahallesi
175 M2,11-15,10,Boş,Konut,135 M2,3+1,3.Kat,Kombi Doğalgaz,1575000,Kayseri - Kocasinan - Yeşil Mahallesi,Kayseri,Kocasinan,Yeşil Mahallesi
175 M2,5-10,13,Mülk Sahibi Oturuyor,Konut,135 M2,3+1,12.Kat,Merkezi (Pay Ölçer),1600000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,Melikgazi,Bahçelievler Mahallesi
150 M2,5-10,8,Mülk Sahibi Oturuyor,Konut,120 M2,3+1,4.Kat,Merkezi Doğalgaz,1600000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,Melikgazi,Kazımkarabekir Mahallesi
190 M2,5-10,13,Kiracı Oturuyor,Konut,165 M2,3+1,1.Kat,Merkezi (Pay Ölçer),1895000,Kayseri - Kocasinan - Saray Bosna Mahallesi,Kayseri,Kocasinan,Saray Bosna Mahallesi
195 M2,11-15,7,Mülk Sahibi Oturuyor,Konut,175 M2,3+1,3.Kat,Merkezi Doğalgaz,2100000,Kayseri - Melikgazi - Gülük Mahallesi,Kayseri,Melikgazi,Gülük Mahallesi
120 M2,21 Ve Üzeri,5,Boş,Konut,100 M2,2+1,Düz Giriş,Merkezi Doğalgaz,955000,Kayseri - Kocasinan - Mevlana Mahallesi,Kayseri,Kocasinan,Mevlana Mahallesi
110 M2,21 Ve Üzeri,5,Kiracı Oturuyor,Konut,105 M2,2+1,3.Kat,Kombi Doğalgaz,900000,Kayseri - Melikgazi - Gülük Mahallesi,Kayseri,Melikgazi,Gülük Mahallesi
185 M2,5-10,3,Boş,Konut,145 M2,3+1,2.Kat,Kombi Doğalgaz,1635000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,Melikgazi,Esentepe Mahallesi
285 M2,5-10,8,Kiracı Oturuyor,Konut,270 M2,3+1,4.Kat,Merkezi Doğalgaz,2550000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,Melikgazi,Esentepe Mahallesi
185 M2,11-15,9,Mülk Sahibi Oturuyor,Konut,145 M2,3+1,5.Kat,Merkezi (Pay Ölçer),2095000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
165 M2,5-10,14,Boş,Konut,130 M2,3+1,3.Kat,Merkezi Doğalgaz,1485000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,Melikgazi,Şirintepe Mahallesi
185 M2,5-10,13,Boş,Konut,165 M2,3+1,3.Kat,Merkezi Doğalgaz,1485000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,Melikgazi,Şirintepe Mahallesi
180 M2,4,13,Boş,Konut,130 M2,3+1,7.Kat,Merkezi Doğalgaz,1770000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
135 M2,0 (Yeni),5,Boş,Konut,100 M2,2+1,2.Kat,Kombi Doğalgaz,1450000,Kayseri - Melikgazi - Hürriyet Mahallesi,Kayseri,Melikgazi,Hürriyet Mahallesi
165 M2,2,12,Kiracı Oturuyor,Konut,120 M2,3+1,4.Kat,Merkezi (Pay Ölçer),1445000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,Kocasinan,Beyazşehir Mahallesi
200 M2,3,19,Boş,Konut,170 M2,4+1,17.Kat,Merkezi (Pay Ölçer),2850000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,Kocasinan,Sahabiye Mahallesi
200 M2,4,5,Mülk Sahibi Oturuyor,Konut,165 M2,4+1,2.Kat,Merkezi Doğalgaz,3000000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,Kocasinan,Mithatpaşa Mahallesi
