Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Şehir,İlçe,Mahalle
16-20,3,1,Konut,120,3+1,1.Kat,Kombi Doğalgaz,1100000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,3,Fevzi Çakmak Mahallesi
0 (Yeni),2,0,Konut,165,5+1,Villa Tipi,Kombi Doğalgaz,9050000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
0 (Yeni),2,0,Konut,165,5+1,Villa Tipi,Kombi Doğalgaz,9000000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
21 Ve Üzeri,3,1,Konut,130,3+1,3.Kat,Kombi Doğalgaz,1250000,Kayseri - Melikgazi - Keykubat Mahallesi,Kayseri,4,Keykubat Mahallesi
21 Ve Üzeri,8,1,Konut,190,3+1,1.Kat,Merkezi Doğalgaz,1749000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
0 (Yeni),2,0,Konut,220,4+1,Düz Giriş,Kombi Doğalgaz,5950000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
16-20,7,1,Konut,110,3+1,5.Kat,Kombi Doğalgaz,1365000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
0 (Yeni),8,0,Konut,140,4+1,4.Kat,Merkezi Doğalgaz,3300000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,3,Sancaktepe Mahallesi
21 Ve Üzeri,9,2,Konut,105,3+1,Yüksek Giriş,Merkezi Doğalgaz,1200000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
16-20,1,1,Konut,200,5+0,Düz Giriş,Sobalı,3400000,Kayseri - Kocasinan - Kızık Mahallesi,Kayseri,3,Kızık Mahallesi
5-10,10,1,Konut,130,3+1,1.Kat,Merkezi Doğalgaz,1185000,Kayseri - Melikgazi - Germir Mahallesi,Kayseri,4,Germir Mahallesi
5-10,12,0,Konut,319,5+3,12.Kat,Merkezi (Pay Ölçer),4700000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
11-15,14,1,Konut,135,3+1,2.Kat,Kombi Doğalgaz,1400000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,4,30 Ağustos Mahallesi
11-15,14,1,Konut,130,3+1,2.Kat,Kombi Doğalgaz,1400000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,4,30 Ağustos Mahallesi
11-15,8,2,Konut,125,3+1,4.Kat,Merkezi Doğalgaz,1455000,Kayseri - Melikgazi - Kocatepe Mahallesi,Kayseri,4,Kocatepe Mahallesi
21 Ve Üzeri,3,1,Konut,125,3+1,3.Kat,Sobalı,1315000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
5-10,10,2,Konut,100,2+1,1.Kat,Merkezi (Pay Ölçer),1120000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
5-10,14,2,Konut,170,4+1,13.Kat,Merkezi (Pay Ölçer),4150000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,4,Gültepe Mahallesi
0 (Yeni),2,0,Konut,200,4+1,Düz Giriş,Kombi Doğalgaz,7000000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),14,0,Konut,135,3.5+1,2.Kat,Merkezi (Pay Ölçer),2050000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
0 (Yeni),7,1,Konut,145,3+1,4.Kat,Merkezi (Pay Ölçer),1500000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,3,Osmangazi Mahallesi
0 (Yeni),8,0,Konut,155,4+1,4.Kat,Merkezi (Pay Ölçer),1920000,Kayseri - Melikgazi - Şirintepe Mahallesi,Kayseri,4,Şirintepe Mahallesi
0 (Yeni),14,0,Konut,155,3+1,1.Kat,Merkezi Doğalgaz,1750000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,4,Esentepe Mahallesi
0 (Yeni),4,0,Konut,120,3+1,3.Kat,Merkezi (Pay Ölçer),1575000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
5-10,4,0,Konut,500,6+1,Düz Giriş,Yerden Isıtma,18250000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
5-10,15,0,Konut,165,3+1,5.Kat,Merkezi Doğalgaz,1850000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,Kayseri,4,Tacettin Veli Mahallesi
5-10,15,2,Konut,155,3+1,1.Kat,Kombi Doğalgaz,1472000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
0 (Yeni),10,0,Konut,115,2+1,5.Kat,Kombi Doğalgaz,300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
5-10,13,0,Konut,160,3+1,4.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
21 Ve Üzeri,1,2,Konut,200,3+1,Düz Giriş,Isıtma Yok,19500000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,4,Hisarcık Mahallesi
21 Ve Üzeri,1,2,Konut,200,3+1,Düz Giriş,Isıtma Yok,28500000,Kayseri - Melikgazi - Hisarcık Mahallesi,Kayseri,4,Hisarcık Mahallesi
4,4,1,Konut,124,3+1,1.Kat,Merkezi (Pay Ölçer),1410000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
21 Ve Üzeri,3,0,Konut,290,6+1,Müstakil.Kat,Sobalı,5100000,Kayseri - Kocasinan - Saraycık Mahallesi,Kayseri,3,Saraycık Mahallesi
2,12,1,Konut,135,3+1,6.Kat,Merkezi (Pay Ölçer),1570000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
5-10,8,1,Konut,190,4+1,8.Kat,Yerden Isıtma,2325000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
2,14,1,Konut,145,3.5+1,1.Kat,Merkezi (Pay Ölçer),1510000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),6,0,Konut,135,3+1,3.Kat,Kombi Doğalgaz,1850000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
16-20,4,1,Konut,100,3+1,2.Kat,Kombi Doğalgaz,995000,Kayseri - Melikgazi - Tınaztepe Mahallesi,Kayseri,4,Tınaztepe Mahallesi
0 (Yeni),13,0,Konut,160,4+1,8.Kat,Merkezi (Pay Ölçer),2450000,Kayseri - Kocasinan - Seyrani Mahallesi,Kayseri,3,Seyrani Mahallesi
0 (Yeni),2,0,Konut,150,4+1,Düz Giriş,Kombi Doğalgaz,6100000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),13,0,Konut,130,3+1,1.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,3,Ertuğrul Gazi Mahallesi
16-20,1,1,Konut,428,3+1,Düz Giriş,Sobalı,1700000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
2,2,2,Konut,200,5+1,Düz Giriş,Kombi Doğalgaz,6799000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,2,2,Konut,190,3+2,Düz Giriş,Kombi Doğalgaz,7750000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
0 (Yeni),14,0,Konut,130,4+1,5.Kat,Merkezi (Pay Ölçer),600000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),14,0,Konut,175,4.5+1,2.Kat,Merkezi (Pay Ölçer),4250000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
0 (Yeni),1,0,Konut,180,4+1,Düz Giriş,Kombi Doğalgaz,5800000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,4,Gesi Mahallesi
21 Ve Üzeri,3,0,Konut,80,3+1,Tam Bodrum.Kat,Sobalı,580000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,3,Mimarsinan Mahallesi
0 (Yeni),6,0,Konut,125,3+1,1.Kat,Kombi Doğalgaz,1499000,Kayseri - Kocasinan - General Emir Mahallesi,Kayseri,3,General Emir Mahallesi
11-15,9,2,Konut,110,3+1,5.Kat,Merkezi (Pay Ölçer),1275000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),12,0,Konut,125,3+1,1.Kat,Merkezi (Pay Ölçer),1800000,Kayseri - Kocasinan - Seyrani Mahallesi,Kayseri,3,Seyrani Mahallesi
21 Ve Üzeri,4,1,Konut,100,3+1,2.Kat,Kombi Doğalgaz,1750000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
21 Ve Üzeri,8,1,Konut,145,3+1,5.Kat,Merkezi Doğalgaz,1850000,Kayseri - Kocasinan - Erciyesevler Mahallesi,Kayseri,3,Erciyesevler Mahallesi
0 (Yeni),14,0,Konut,140,3+1,6.Kat,Merkezi (Pay Ölçer),1700000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
5-10,11,1,Konut,135,3+1,1.Kat,Merkezi (Pay Ölçer),1695000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
16-20,14,0,Konut,220,4+1,6.Kat,Kombi Doğalgaz,3350000,Kayseri - Melikgazi - Gültepe Mahallesi,Kayseri,4,Gültepe Mahallesi
0 (Yeni),10,0,Konut,130,2.5+1,6.Kat,Merkezi Doğalgaz,1065000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
16-20,5,2,Konut,110,2+1,5.Kat,Sobalı,660000,Kayseri - Kocasinan - Sanayi Mahallesi,Kayseri,3,Sanayi Mahallesi
2,16,0,Konut,90,2+1,4.Kat,Merkezi (Pay Ölçer),1395000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
5-10,12,2,Konut,110,3+1,12.Kat,Merkezi Doğalgaz,1950000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
4,14,0,Konut,130,3+1,11.Kat,Merkezi (Pay Ölçer),1640000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Kayseri,3,Yavuzlar Mahallesi
0 (Yeni),2,0,Konut,100,3+1,Düz Giriş,Sobalı,2400000,Kayseri - Kocasinan - Buğdaylı Mahallesi,Kayseri,3,Buğdaylı Mahallesi
0 (Yeni),2,0,Konut,130,4+1,Düz Giriş,Kombi Doğalgaz,8600000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),6,0,Konut,130,3+1,Yüksek Giriş,Kombi Doğalgaz,1100000,Kayseri - Melikgazi - Fatih Mahallesi,Kayseri,4,Fatih Mahallesi
21 Ve Üzeri,12,0,Konut,135,3+1,4.Kat,Yerden Isıtma,1500000,Kayseri - Melikgazi - 30 Ağustos Mahallesi,Kayseri,4,30 Ağustos Mahallesi
16-20,8,2,Konut,110,3+1,6.Kat,Kombi Doğalgaz,1150000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
0 (Yeni),10,0,Konut,85,2+1,9.Kat,Merkezi Doğalgaz,300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
5-10,6,0,Konut,130,3+1,1.Kat,Kombi Doğalgaz,1350000,Kayseri - Melikgazi - Battalgazi Mahallesi,Kayseri,4,Battalgazi Mahallesi
5-10,3,0,Konut,329,1 Oda,,Isıtma Yok,1820000,Kayseri - Melikgazi - Danişmend Gazi Mahallesi,Kayseri,4,Danişmend Gazi Mahallesi
0 (Yeni),10,0,Konut,135,3+1,1.Kat,Merkezi Doğalgaz,1800000,Kayseri - Kocasinan - Zümrüt Mahallesi,Kayseri,3,Zümrüt Mahallesi
0 (Yeni),12,0,Konut,190,4+1,4.Kat,Merkezi (Pay Ölçer),2500000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
0 (Yeni),8,0,Konut,110,3+1,1.Kat,Kombi Doğalgaz,1850000,Kayseri - Kocasinan - Yavuzlar Mahallesi,Kayseri,3,Yavuzlar Mahallesi
5-10,3,2,Konut,65,2+1,2.Kat,Merkezi (Pay Ölçer),820000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),13,0,Konut,95,2+1,12.Kat,Merkezi (Pay Ölçer),1400000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
0 (Yeni),8,0,Konut,145,3+1,Çatı Katı,Merkezi Doğalgaz,1670000,Kayseri - Melikgazi - Gökkent Mahallesi,Kayseri,4,Gökkent Mahallesi
0 (Yeni),14,0,Konut,130,3+1,12.Kat,Merkezi (Pay Ölçer),1950000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
5-10,3,0,Konut,50,1+1,2.Kat,Kombi Doğalgaz,649000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
3,14,0,Konut,180,3+1,7.Kat,Merkezi Doğalgaz,1800000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,13,0,Konut,315,6+2,13.Kat,Yerden Isıtma,5950000,Kayseri - Melikgazi - Germir Mahallesi,Kayseri,4,Germir Mahallesi
0 (Yeni),14,0,Konut,153,4+1,2.Kat,Merkezi (Pay Ölçer),3699000,Kayseri - Kocasinan - Yakut Mahallesi,Kayseri,3,Yakut Mahallesi
4,8,2,Konut,140,3+1,7.Kat,Merkezi (Pay Ölçer),1350000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
11-15,4,2,Konut,440,2+1,Bahçe Dublex,Kombi Doğalgaz,3150000,Kayseri - Melikgazi - Danişmend Gazi Mahallesi,Kayseri,4,Danişmend Gazi Mahallesi
5-10,13,1,Konut,230,4+1,11.Kat,Merkezi Doğalgaz,7600000,Kayseri - Melikgazi - Köşk Mahallesi,Kayseri,4,Köşk Mahallesi
5-10,11,0,Konut,200,5+2,11.Kat,Kombi Doğalgaz,2350000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
0 (Yeni),10,0,Konut,140,3+2,2.Kat,Merkezi (Pay Ölçer),2090000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
5-10,4,0,Konut,380,9+ Oda,Bahçe Katı,Kombi Doğalgaz,16900000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,4,Gesi Mahallesi
5-10,13,2,Konut,150,3+1,11.Kat,Merkezi (Pay Ölçer),1535000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,Kayseri,4,Tacettin Veli Mahallesi
4,6,0,Konut,85,2+1,4.Kat,Merkezi (Pay Ölçer),1250000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
0 (Yeni),7,0,Konut,145,3+1,6.Kat,Merkezi Doğalgaz,1850000,Kayseri - Kocasinan - Uğurevler Mahallesi,Kayseri,3,Uğurevler Mahallesi
0 (Yeni),11,0,Konut,140,3+1,10.Kat,Merkezi Doğalgaz,1575000,Kayseri - Melikgazi - Esentepe Mahallesi,Kayseri,4,Esentepe Mahallesi
5-10,14,2,Konut,145,3+1,6.Kat,Merkezi Doğalgaz,1900000,Kayseri - Melikgazi - Bahçelievler Mahallesi,Kayseri,4,Bahçelievler Mahallesi
11-15,9,0,Konut,116,3+1,9.Kat,Kombi Doğalgaz,1150000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
0 (Yeni),12,0,Konut,125,3+1,6.Kat,Merkezi (Pay Ölçer),415000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
0 (Yeni),12,0,Konut,95,2+1,5.Kat,Merkezi Doğalgaz,300000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
21 Ve Üzeri,2,0,Konut,300,3+1,Bahçe Katı,Sobalı,1600000,Kayseri - Melikgazi - Hürriyet Mahallesi,Kayseri,4,Hürriyet Mahallesi
0 (Yeni),3,0,Konut,350,3+1,Düz Giriş,Kombi Doğalgaz,22500000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
0 (Yeni),14,0,Konut,118,3+1,5.Kat,Merkezi Doğalgaz,205000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),3,0,Konut,260,5+1,Düz Giriş,Kombi Doğalgaz,14500000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),3,0,Konut,216,5+1,Düz Giriş,Kombi Doğalgaz,5750000,Kayseri - Melikgazi - Gesi Mahallesi,Kayseri,4,Gesi Mahallesi
1,11,1,Konut,140,3+1,1.Kat,Merkezi (Pay Ölçer),3490000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
0 (Yeni),3,0,Konut,280,7+1,Düz Giriş,Yerden Isıtma,18500000,Kayseri - Melikgazi - Erenköy Mahallesi,Kayseri,4,Erenköy Mahallesi
0 (Yeni),9,0,Konut,110,3+1,3.Kat,Merkezi (Pay Ölçer),1675000,Kayseri - Kocasinan - Şeker Mahallesi,Kayseri,3,Şeker Mahallesi
16-20,3,0,Konut,55,1+1,Düz Giriş,Kombi Doğalgaz,675000,Kayseri - Melikgazi - Demokrasi Mahallesi,Kayseri,4,Demokrasi Mahallesi
21 Ve Üzeri,8,0,Konut,135,3+1,1.Kat,Merkezi Doğalgaz,1449000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
21 Ve Üzeri,8,0,Konut,135,3+1,1.Kat,Merkezi Doğalgaz,1149000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
21 Ve Üzeri,3,0,Konut,120,2+1,2.Kat,Kombi Doğalgaz,920000,Kayseri - Kocasinan - Mimarsinan Mahallesi,Kayseri,3,Mimarsinan Mahallesi
21 Ve Üzeri,10,0,Konut,240,4+1,6.Kat,Merkezi (Pay Ölçer),4350000,Kayseri - Melikgazi - Alpaslan Mahallesi,Kayseri,4,Alpaslan Mahallesi
0 (Yeni),2,0,Konut,165,5+1,Villa Tipi,Kombi Doğalgaz,9100000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
0 (Yeni),14,0,Konut,175,4+1,3.Kat,Merkezi (Pay Ölçer),2350000,Kayseri - Kocasinan - Saray Bosna Mahallesi,Kayseri,3,Saray Bosna Mahallesi
0 (Yeni),12,0,Konut,175,4+1,5.Kat,Merkezi (Pay Ölçer),3400000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
0 (Yeni),9,0,Konut,125,3+1,5.Kat,Merkezi (Pay Ölçer),1675000,Kayseri - Kocasinan - Erkilet Mahallesi,Kayseri,3,Erkilet Mahallesi
5-10,12,0,Konut,130,3+1,7.Kat,Merkezi Doğalgaz,1570000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),10,0,Konut,85,2+1,7.Kat,Merkezi Doğalgaz,300000,Kayseri - Kocasinan - Ahi Evran Mahallesi,Kayseri,3,Ahi Evran Mahallesi
16-20,11,0,Konut,135,3+1,9.Kat,Merkezi Doğalgaz,1270000,Kayseri - Melikgazi - 19 Mayıs Mahallesi,Kayseri,4,19 Mayıs Mahallesi
5-10,5,0,Konut,250,4+1,Villa Tipi,Merkezi Doğalgaz,2350000,Kayseri - Melikgazi - Germir Mahallesi,Kayseri,4,Germir Mahallesi
5-10,11,0,Konut,220,4.5+1,11.Kat,Merkezi (Pay Ölçer),5250000,Kayseri - Kocasinan - Erciyesevler Mahallesi,Kayseri,3,Erciyesevler Mahallesi
1,14,0,Konut,95,2+1,7.Kat,Merkezi Doğalgaz,1450000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
5-10,13,1,Konut,145,3+1,8.Kat,Merkezi Doğalgaz,1950000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
21 Ve Üzeri,5,1,Konut,140,3+1,4.Kat,Kombi Doğalgaz,1400000,Kayseri - Kocasinan - Fevzi Çakmak Mahallesi,Kayseri,3,Fevzi Çakmak Mahallesi
0 (Yeni),3,0,Konut,289,6+1,Düz Giriş,Kombi Doğalgaz,10500000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
5-10,2,2,Konut,280,4+1,Düz Giriş,Sobalı,12850000,Kayseri - Melikgazi - Eğribucak Mahallesi,Kayseri,4,Eğribucak Mahallesi
4,1,2,Konut,80,2+1,Düz Giriş,Sobalı,2250000,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,Kayseri,4,Kazımkarabekir Mahallesi
0 (Yeni),12,0,Konut,145,4+1,7.Kat,Merkezi (Pay Ölçer),3700000,Kayseri - Kocasinan - Alsancak Mahallesi,Kayseri,3,Alsancak Mahallesi
3,4,2,Konut,210,4+1,Yüksek Giriş,Merkezi Doğalgaz,2200000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
3,5,2,Konut,85,2+1,3.Kat,Merkezi Doğalgaz,1010000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
16-20,12,0,Konut,130,3+1,8.Kat,Merkezi Doğalgaz,1300000,Kayseri - Kocasinan - Beyazşehir Mahallesi,Kayseri,3,Beyazşehir Mahallesi
11-15,12,0,Konut,130,3+1,7.Kat,Kombi Doğalgaz,1380000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
16-20,9,1,Konut,100,3+1,5.Kat,Merkezi Doğalgaz,1300000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
16-20,3,0,Konut,90,2+1,3.Kat,Doğalgaz Sobalı,775000,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,Kayseri,4,Aydınlıkevler Mahallesi
0 (Yeni),10,0,Konut,185,3+1,9.Kat,Merkezi (Pay Ölçer),2400000,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,Kayseri,3,Hoca Ahmet Yesevi Mahallesi
0 (Yeni),12,0,Konut,129,3+1,6.Kat,Merkezi (Pay Ölçer),2080000,Kayseri - Melikgazi - Gesi Fatih Mahallesi,Kayseri,4,Gesi Fatih Mahallesi
11-15,12,0,Konut,130,3+1,4.Kat,Merkezi (Pay Ölçer),1500000,Kayseri - Melikgazi - Esenyurt Mahallesi,Kayseri,4,Esenyurt Mahallesi
11-15,13,0,Konut,138,3+1,7.Kat,Merkezi (Pay Ölçer),2300000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
0 (Yeni),2,0,Konut,190,5+1,Villa Tipi,Kombi Doğalgaz,11000000,Kayseri - Melikgazi - Becen Mahallesi,Kayseri,4,Becen Mahallesi
3,10,0,Konut,175,4+1,1.Kat,Merkezi (Pay Ölçer),2590000,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,Kayseri,4,Yıldırım Beyazıt Mahallesi
0 (Yeni),10,0,Konut,75,2+1,2.Kat,Kat Kaloriferi,1525000,Kayseri - Kocasinan - Sancaktepe Mahallesi,Kayseri,3,Sancaktepe Mahallesi
2,15,1,Konut,105,3+1,6.Kat,Kat Kaloriferi,1650000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,15,0,Konut,130,3+1,4.Kat,Kat Kaloriferi,1750000,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,Kayseri,4,İldem Cumhuriyet Mahallesi
2,17,0,Konut,106,2+1,9.Kat,Merkezi (Pay Ölçer),2100000,Kayseri - Kocasinan - Sahabiye Mahallesi,Kayseri,3,Sahabiye Mahallesi
16-20,10,1,Konut,140,3+1,7.Kat,Merkezi Doğalgaz,1500000,Kayseri - Melikgazi - Tacettin Veli Mahallesi,Kayseri,4,Tacettin Veli Mahallesi
0 (Yeni),10,0,Konut,145,3+1,2.Kat,Merkezi Doğalgaz,1350000,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,Kayseri,3,Ertuğrul Gazi Mahallesi
0 (Yeni),12,0,Konut,120,3+1,4.Kat,Merkezi Doğalgaz,305000,Kayseri - Melikgazi - Tavlusun Mahallesi,Kayseri,4,Tavlusun Mahallesi
0 (Yeni),12,0,Konut,120,3+1,4.Kat,Merkezi Doğalgaz,375000,Kayseri - Kocasinan - Yavuz Selim Mahallesi,Kayseri,3,Yavuz Selim Mahallesi
0 (Yeni),12,0,Konut,120,3+1,5.Kat,Merkezi Doğalgaz,375000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),13,0,Konut,128,3+1,3.Kat,Merkezi (Pay Ölçer),2200000,Kayseri - Kocasinan - Osmangazi Mahallesi,Kayseri,3,Osmangazi Mahallesi
0 (Yeni),12,0,Konut,110,2+1,4.Kat,Merkezi Doğalgaz,260000,Kayseri - Melikgazi - Tavlusun Mahallesi,Kayseri,4,Tavlusun Mahallesi
0 (Yeni),12,0,Konut,110,2+1,4.Kat,Merkezi Doğalgaz,276000,Kayseri - Kocasinan - Yavuz Selim Mahallesi,Kayseri,3,Yavuz Selim Mahallesi
0 (Yeni),12,0,Konut,100,2+1,6.Kat,Merkezi Doğalgaz,275000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
0 (Yeni),14,0,Konut,112,3+1,4.Kat,Merkezi Doğalgaz,395000,Kayseri - Melikgazi - Yeşilyurt Mahallesi,Kayseri,4,Yeşilyurt Mahallesi
5-10,5,2,Konut,190,4+1,1.Kat,Kombi Doğalgaz,2150000,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Kayseri,3,Mithatpaşa Mahallesi
0 (Yeni),7,0,Konut,135,3.5+1,4.Kat,Merkezi (Pay Ölçer),1840000,Kayseri - Melikgazi - Altınoluk Mahallesi,Kayseri,4,Altınoluk Mahallesi
