İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13379188,08 Haziran 2023,Satılık,195 M2,0 (Yeni),2,Boş,Yapım Aşamasında,,2,08 Haziran 2023,Konut,165 M2,5+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"9,000,000",
13378990,08 Haziran 2023,Satılık,185 M2,5-10,4,Kiracı Oturuyor,,,2,08 Haziran 2023,Konut,145 M2,3.5+1,1.Kat,Kombi Doğalgaz,,Hayır,,Birim Fiyat,Daire,Kayseri - Hacılar - Akdam Mahallesi,"1,700,000","Özel mimari ve tasarım, 3+1+1 şeklinde oda, 3 cephe bkd olmak üzere, Ferdi kombi (Bosch marka), Mutfak içerisinde özel yemek odası, Kısmî Kayseri manzarası kot farkindan, 185 m² bürüt neti 145 m², 2 banyo, 2 WC, 3 balkon, Açik otoparki, Bodrum üzeri geçiyor ama 2. Kat yüksekliğinde, Pazarlık mevcuttur yüz yüze..., %2 hizmet bedelimiz vardır., Tapu kanunen yarı yarıyadır, Krediye uygundur, okul, cami ve aliş veriş merkezine yakındır..., Komşulari sessiz sakin kimselerdir, Sunum ve görmek için arayınız, Kiracılıdır. Satıs gerçekleştiği takdirde tahliyesi kabul etmiştir, Dış yalıtımı yapılmıştır, Lokasyonu ve mimarisi ile özeldir"
13377811,12 Haziran 2023,Satılık,130 M2,11-15,10,Boş,İkinci El,Boş,1,08 Haziran 2023,Konut,110 M2,3+1,10.Kat,Kat Kaloriferi,,Hayır,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Beyazşehir Mahallesi,"1,125,000",
13379378,16 Haziran 2023,Satılık,120 M2,0 (Yeni),10,Boş,,Boş,1,08 Haziran 2023,Konut,100 M2,2+1,5.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"265,000",
13379382,20 Temmuz 2023,Satılık,155 M2,1,9,Boş,,Boş,1,08 Haziran 2023,Konut,130 M2,3+1,5.Kat,Merkezi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,"1,595,000",
13379384,14 Haziran 2023,Satılık,170 M2,0 (Yeni),14,Boş,,Boş,2,08 Haziran 2023,Konut,130 M2,3+1,1.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Esentepe Mahallesi,"1,600,000",
13379360,08 Haziran 2023,Satılık,195 M2,0 (Yeni),2,Boş,Yapım Aşamasında,,2,08 Haziran 2023,Konut,165 M2,5+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"9,050,000",
13379921,27 Temmuz 2023,Satılık,80 M2,21 Ve Üzeri,8,Mülk Sahibi Oturuyor,,,1,08 Haziran 2023,Konut,70 M2,1+1,Düz Giriş (Zemin),Merkezi Doğalgaz,,Hayır,,Birim Fiyat,Daire,Kayseri - Kocasinan - Sahabiye Mahallesi,"748,000",HAKAN TAŞHAN EMLAK OFİSİNDEN SAHABİYE BOZANTI CADDESİNDE PARK CEPHELİ 1+1 ZEMİNKAT KONUMU ÇARŞIYA YÜRÜME MESAFESİNDEDİR
13380587,20 Temmuz 2023,Satılık,165 M2,5-10,12,Kiracı Oturuyor,İkinci El,,2,08 Haziran 2023,Konut,135 M2,3+1,9.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Yeşilyurt Mahallesi,"1,610,000",
13379374,29 Temmuz 2023,Satılık,165 M2,5-10,12,Boş,,Boş,1,08 Haziran 2023,Konut,130 M2,3+1,7.Kat,Kombi Doğalgaz,,Evet,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Ahi Evran Mahallesi,"1,380,000",
13361123,05 Haziran 2023,Satılık,165 M2,0 (Yeni),14,Kiracı Oturuyor,,Boş,2,05 Haziran 2023,Konut,145 M2,3+1,5.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,"335,000",
13361461,05 Haziran 2023,Satılık,170 M2,4,14,Mülk Sahibi Oturuyor,,Boş,1,05 Haziran 2023,Konut,135 M2,3+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,449,000",
13372606,07 Haziran 2023,Satılık,185 M2,3,12,Boş,İkinci El,Boş,2,07 Haziran 2023,Konut,135 M2,3+1,5.Kat,Merkezi (Pay Ölçer),,Evet,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Yakut Mahallesi,"2,050,000",
13361460,05 Haziran 2023,Satılık,170 M2,5-10,14,Mülk Sahibi Oturuyor,,Boş,1,05 Haziran 2023,Konut,135 M2,3+1,9.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,525,000",
13361846,03 Ağustos 2023,Satılık,110 M2,0 (Yeni),2,Boş,,Boş,1,05 Haziran 2023,Konut,90 M2,2+1,1.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Kiçiköy Mahallesi,"1,375,000",
13361847,15 Haziran 2023,Satılık,165 M2,0 (Yeni),4,Boş,,Boş,2,05 Haziran 2023,Konut,135 M2,3+1,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,"420,000",
