İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Site İçerisinde,Takas,Fiyat Durumu,Kategori,Konumu,Fiyat,İlan Açıklaması
13692421,05 Ağustos 2023,Satılık,175 M2,0 (Yeni),15,Boş,Sıfır,Boş,2,05 Ağustos 2023,Konut,140 M2,3+1,10.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Sancaktepe Mahallesi,"1,900,000",
13601594,30 Temmuz 2023,Satılık,150 M2,4,8,Mülk Sahibi Oturuyor,Sıfır,,1,21 Temmuz 2023,Konut,130 M2,3+1,2.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Barbaros Mahallesi,"1,300,000",Gazi Osman da çarşıya yürüme mesafesinde çok güzel bir konumda satılık 3+1 daire kaçmaz fırsat al otur kiraya ver çarşıya 10 dk yürüme mesafesinde konumu harika çift balkonlu otoparklı altında çift katlı dükkan vardır 3. Kat seviyesindedir pazarlıksız fiyatıdır araç takası değerlendirilir alana hayırlı olsun inşallah.
13579928,18 Temmuz 2023,Satılık,330 M2,0 (Yeni),3,Boş,Sıfır,Boş,3,18 Temmuz 2023,Konut,304 M2,7+2,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"12,500,000","Becen mah. Aynalı Camii yanında sıfır 11 aya teslim son 2 villamız Satılıktır., 680 m² bahçe içerisinde, 104 m den 3 katatli ve toplamda 312 m² den oluşmaktadir., Site içerisinde güvenlikli, İstenirse içerisine asansör konulabilecek şekilde planlı, 1.sinif malzeme ve 1. sınıf işcilik ile özel tasarım son 2 villamız dan birisi size nasip olsun..., Her katta mutlak, Her katta WC banyo, Her katta özel tasarım ile tüm ihtiyaçlariniza cevap verecek size özel villamizi görmek ve sunum almanız için bir telefon kadar yakınız ..arayınız yardımcı olalım ..."
13412528,04 Ağustos 2023,Satılık,100 M2,4,4,Kiracı Oturuyor,,,1,14 Haziran 2023,Konut,90 M2,3+1,4.Kat,Merkezi Doğalgaz,Bilinmiyor,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Selçuklu Mahallesi,"2,320,000","Binamız doğalgazlıdır., Tapusu; belediye tapusudur., 209 m2 arsanın içinde her biri 100 m2 olan 4 katlı ev bulunmaktadır., ALICIDAN KOMİSYON ALINMAYACAKTIR"
13477905,31 Temmuz 2023,Satılık,165 M2,0 (Yeni),4,Boş,,,1,25 Haziran 2023,Konut,120 M2,3+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Şeker Mahallesi,"1,450,000",
13580320,18 Temmuz 2023,Satılık,120 M2,0 (Yeni),12,Boş,,,1,18 Temmuz 2023,Konut,110 M2,2+1,5.Kat,Merkezi (Pay Ölçer),Bilinmiyor,Hayır,,Genel Fiyat,Kooperatif,Kayseri - Kocasinan - Ahi Evran Mahallesi,"300,000",
13484181,04 Ağustos 2023,Satılık,170 M2,21 Ve Üzeri,4,Boş,,Boş,1,26 Haziran 2023,Konut,140 M2,3+1,3.Kat,Kombi Doğalgaz,,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Aydınlıkevler Mahallesi,"1,350,000",
13478907,17 Temmuz 2023,Satılık,110 M2,5-10,10,Mülk Sahibi Oturuyor,,,1,25 Haziran 2023,Konut,100 M2,2+1,1.Kat,Merkezi (Pay Ölçer),,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Esenyurt Mahallesi,"1,099,000",
13591011,21 Temmuz 2023,Satılık,75 M2,5-10,3,Kiracı Oturuyor,,Boş,1,20 Temmuz 2023,Konut,65 M2,2+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Demokrasi Mahallesi,"760,000",
13624178,05 Ağustos 2023,Satılık,175 M2,0 (Yeni),10,Boş,,,2,26 Temmuz 2023,Konut,140 M2,3+1,4.Kat,Kombi Doğalgaz,,Hayır,,Birim Fiyat,Daire,Kayseri - Melikgazi - Kılıçaslan Mahallesi,"2,580,000",Forum karşısı orta kat merkezi sistem sıfır daire
13623628,26 Temmuz 2023,Satılık,210 M2,0 (Yeni),13,Boş,,,2,26 Temmuz 2023,Konut,190 M2,4+1,4.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Yakut Mahallesi,"3,940,000",
13641464,04 Ağustos 2023,Satılık,155 M2,21 Ve Üzeri,3,Kiracı Oturuyor,İkinci El,,1,28 Temmuz 2023,Konut,120 M2,3+1,3.Kat,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Kocasinan - Sahabiye Mahallesi,"1,150,000",Kentsel dönüşüm dairesi kiracili 2.etap tan sözleşme yapıldı
13655276,31 Temmuz 2023,Satılık,300 M2,0 (Yeni),3,Boş,Yapım Aşamasında,,3,31 Temmuz 2023,Konut,250 M2,7+1,,Kombi Doğalgaz,Bilinmiyor,Hayır,Var,Genel Fiyat,Villa,Kayseri - Talas - Tablakaya Mahallesi,"19,500,000",
13657766,31 Temmuz 2023,Satılık,175 M2,0 (Yeni),14,Boş,,Boş,2,31 Temmuz 2023,Konut,155 M2,3+1,1.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Esentepe Mahallesi,"1,750,000",
13656788,31 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,,,1,31 Temmuz 2023,Konut,150 M2,3+1,4.Kat,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Kocasinan - Gevhernesibe Mahallesi,"1,600,000",
13653229,06 Ağustos 2023,Satılık,230 M2,21 Ve Üzeri,2,Boş,,,1,31 Temmuz 2023,Konut,189 M2,9+ Oda,,Sobalı,Krediye Uygun,Hayır,,Genel Fiyat,Müstakil Ev,Kayseri - Talas - Reşadiye Mahallesi,"600,000","Reşadiye yonu taş kargir ev aslına uygun restorasyon yapılabilir, 227 M2 toplam 3 tapu, 2 adet kargir ev tapusu, 1 adet güvercinlik tapusu mevcuttur"
13695852,06 Ağustos 2023,Satılık,175 M2,1,6,Boş,,Boş,2,06 Ağustos 2023,Konut,135 M2,3+1,1.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Şirintepe Mahallesi,"1,625,000",
13697067,06 Ağustos 2023,Satılık,175 M2,11-15,14,Boş,İkinci El,,2,06 Ağustos 2023,Konut,140 M2,3+1,7.Kat,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"2,050,000",Mevlana Mahallesi'nde işlek cadde üzerinde tramway güzergahında sağlık ocağı karşısı kalite evler de satılık 175 m² çift banyo çift balkonlu kilerli dairemiz satılıktır. Pazarlık payımız vardır tekliflere açığız. Alana hayırlı olsun inşallah SEM Grup Gayrimenkul
13695445,06 Ağustos 2023,Satılık,175 M2,0 (Yeni),7,Boş,,Boş,1,06 Ağustos 2023,Konut,150 M2,3+1,5.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Uğurevler Mahallesi,"2,750,000",
13697128,06 Ağustos 2023,Satılık,170 M2,11-15,14,Boş,İkinci El,,1,06 Ağustos 2023,Konut,137 M2,3+1,13.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Alpaslan Mahallesi,"2,150,000",
13660487,01 Ağustos 2023,Satılık,155 M2,0 (Yeni),14,Boş,,Boş,2,01 Ağustos 2023,Konut,120 M2,3+1,5.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,Evet,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Tavlusun Mahallesi,"310,000",
13208504,04 Ağustos 2023,Satılık,185 M2,2,9,Boş,,Boş,2,10 Mayıs 2023,Konut,165 M2,4+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Osmangazi Mahallesi,"2,150,000",
13659371,31 Temmuz 2023,Satılık,185 M2,21 Ve Üzeri,12,Kiracı Oturuyor,İkinci El,,1,31 Temmuz 2023,Konut,160 M2,3+1,Yüksek Giriş,Merkezi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Erciyesevler Mahallesi,"1,650,000","Geniş ferah daire, Geniş banyo, Açık oto park, Yakının geniş park gezme alani"
13677124,04 Ağustos 2023,Satılık,180 M2,0 (Yeni),10,Boş,Sıfır,Boş,2,03 Ağustos 2023,Konut,140 M2,3+1,3.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Osmangazi Mahallesi,"1,800,000","SAHİBİNDEN SIFIR, KREDİYE UYGUN, KAOĞLU YAPI ERKİLET YAPRAK KONUTLARINDA, 3+1, GÜNEY DOĞU CEPHE, KARŞISI OKUL, ÇİFT BANYOLU ÇİFT ASANSÖRLÜ, BRÜT 180 m2 NET 140 m2 DAİRE, Apartmanın karşısı ilkokul, Çocuk Hastanesine 5 dakika, Bölge Hastanesine 8 dakika, Nuh Naci Yazgan Üniversitesine 8 dakika, Şehirler Arası Otobüs Terminaline 10 dakika, Şehir Merkezine 12 dakika, Görseller örnek daire görselleridir., Dairemiz bitme aşamasında olup 1-1,5 ay içinde teslim edilecektir., Ayrıntılı bilgi için arayınız.🌸"
13678796,03 Ağustos 2023,Satılık,110 M2,5-10,11,Boş,,,1,03 Ağustos 2023,Konut,100 M2,2+1,5.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Anbar Mahallesi,"1,130,000",100 m2 merkezi sistem 2+1 Batı cephesi yeri ve konumu lokasyonu güzel ister oturum için ister yatırım için ideal bir yer. Kiralık getirisi güzel
13687251,04 Ağustos 2023,Satılık,130 M2,21 Ve Üzeri,10,Boş,İkinci El,Boş,1,04 Ağustos 2023,Konut,120 M2,3+1,4.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Kocatepe Mahallesi,"1,050,000","KOCATEPE MAHALLESİNDE 130M2 10KATLININ 4.KATI KOMBİLİ YAPILI KUZEYBATI CEPHELİ EMESPLAN DAİRE KÜRSÜEMLAKOFİSİ GÜVENCESİ İLE SATILIKTIR🏠, KONUM OLARAK CADDEYE BAKMAKTA OLUP BELSİN PARKI ÜZERİNDE 19 MAYIS VE BELSİN KÜRSÜ TRAMWAY DURAĞINA YAKIN BANKA POSTAHANE FIRIN OKUL CAMİİ YAKININDADIR., AYRINTILI BİLGİ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ., ☎️, ☎️, KürsüEmlakOfisi🏠, GüveneAtılanİmza✍️, O F İ S, BelsinKürsüTramvayDurağı🚂, PTT Arkası"
13680459,05 Ağustos 2023,Satılık,185 M2,5-10,14,Boş,,Boş,2,03 Ağustos 2023,Konut,165 M2,3+1,2.Kat,Merkezi (Pay Ölçer),,Evet,Var,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,699,000",
13688198,06 Ağustos 2023,Satılık,120 M2,21 Ve Üzeri,4,Kiracı Oturuyor,İkinci El,,1,05 Ağustos 2023,Konut,100 M2,3+1,3.Kat,Kombi Doğalgaz,,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Gesi Fatih Mahallesi,"1,080,000",
13687570,04 Ağustos 2023,Satılık,145 M2,16-20,10,Boş,İkinci El,Boş,1,04 Ağustos 2023,Konut,130 M2,3+1,3.Kat,Merkezi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Tınaztepe Mahallesi,"1,245,000","TINAZTEPE MAHALLESİNDE TINAZTEPE TRAMWAY DURAĞINDA 130M2 MERKEZİ SİSTEM 3.KAT DAİRE KÜRSÜEMLAKOFİSİ GÜVENCESİ İLE SATILIKTIR🏠, AYRINTILI BİLGİ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ., ☎️, ☎️, KürsüEmlakOfisi, GüveneAtılanİmza✍️, O F İ S :, BelsinKürsüTramvayDurağı, PTT Arkası"
13691830,05 Ağustos 2023,Satılık,165 M2,3,10,Boş,İkinci El,,1,05 Ağustos 2023,Konut,130 M2,3+1,6.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Sakarya Mahallesi,"1,720,000",
13689703,05 Ağustos 2023,Satılık,165 M2,5-10,12,Kiracı Oturuyor,,,2,05 Ağustos 2023,Konut,120 M2,3+1,4.Kat,Merkezi (Pay Ölçer),,Evet,,Genel Fiyat,Daire,Kayseri - Kocasinan - Beyazşehir Mahallesi,"1,490,000",
13689757,05 Ağustos 2023,Satılık,165 M2,4,12,Kiracı Oturuyor,,,2,05 Ağustos 2023,Konut,130 M2,3+1,2.Kat,Merkezi (Pay Ölçer),,Evet,,Genel Fiyat,Daire,Kayseri - Kocasinan - Beyazşehir Mahallesi,"1,525,000",
13690404,05 Ağustos 2023,Satılık,155 M2,11-15,14,Boş,,,1,05 Ağustos 2023,Konut,135 M2,3+1,7.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,425,000",
13690307,05 Ağustos 2023,Satılık,100 M2,5-10,4,Kiracı Oturuyor,İkinci El,,1,05 Ağustos 2023,Konut,90 M2,2+1,1.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Yeşilhisar - Yavuz Selim Mahallesi,"1,100,000",
13690529,05 Ağustos 2023,Satılık,250 M2,0 (Yeni),2,Boş,,Boş,4,05 Ağustos 2023,Konut,220 M2,5+1,,Yerden Isıtma,Krediye Uygun,Hayır,Yok,Genel Fiyat,Villa,Kayseri - Talas - Tablakaya Mahallesi,"12,250,000",
13690382,05 Ağustos 2023,Satılık,300 M2,0 (Yeni),2,Boş,Sıfır,,4,05 Ağustos 2023,Konut,258 M2,4.5+1,Villa Tipi,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Talas - Reşadiye Mahallesi,"10,500,000",
13691166,05 Ağustos 2023,Satılık,130 M2,0 (Yeni),5,Boş,,,1,05 Ağustos 2023,Konut,100 M2,2+1,Kot 2 (-2).Kat,Merkezi Doğalgaz,,Hayır,Yok,Birim Fiyat,Daire,Kayseri - Melikgazi - Hürriyet Mahallesi,"1,450,000","HÜRRİYET MAHALLESİ BEŞYOL MEVKİİNDE  ÖNER CORNER PROJESİNDE SATILIK DAİRE  *MERKEZE 5 DK MESAFEDE ; 2+1 GENİŞ OTURUMLU  *OKUL,MARKET, ALIŞVERİŞ MERKEZİNE YAKIN  *BİREYSEL KOMBİLİ  *ULAŞIMI KOLAY  *SENE SONU TESLİM FIRSAT DAİRESİ SATIŞA SUNULMUŞTUR  *DETAYLI BİLGİ İÇİN İLETİŞİME GEÇELİM .         SU TOPRAĞA HAYAT, GAYRİMENKUL İNSANA ÖZGÜR BİR YAŞAM ALANI VADEDER...  GAYRİMENKUL SATIN ALMAYI ZOR DEĞİL EĞLENCELİ BİR İŞ HALİNE GETİRİYORUZ  EMLAK YATIRIMLARINIZDA GÜVENİLİR DANIŞMANINIZ   İLGİLİ DANIŞMAN   YUSUF TOPCU ["
13688344,05 Ağustos 2023,Satılık,120 M2,21 Ve Üzeri,2,Kiracı Oturuyor,,Boş,1,05 Ağustos 2023,Konut,100 M2,3+1,,Sobalı,Krediye Uygun,Hayır,Yok,Genel Fiyat,Müstakil Ev,Kayseri - Melikgazi - Yeniköy Mahallesi,"1,550,000",
13688573,05 Ağustos 2023,Satılık,650 M2,0 (Yeni),2,Boş,,Boş,3,05 Ağustos 2023,Konut,260 M2,3+1,,Kombi Doğalgaz,Krediye Uygun Değil,Hayır,Yok,Genel Fiyat,Villa,Kayseri - Kocasinan - Gömeç Mahallesi,"4,250,000",
13691117,05 Ağustos 2023,Satılık,160 M2,5-10,12,Mülk Sahibi Oturuyor,,,2,05 Ağustos 2023,Konut,125 M2,3+1,5.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Gesi Fatih Mahallesi,"1,450,000",İLDEM FATİH MH. İLDEM C KONUTLARI 5.KAT KUZEY BATI CEPHE 3+1 150M2 EBEVEYN BANYOLU  TAPULU KREDİYE UYGUN
13689338,06 Ağustos 2023,Satılık,95 M2,0 (Yeni),9,Boş,,,1,05 Ağustos 2023,Konut,80 M2,1+1,3.Kat,Merkezi Doğalgaz,Krediye Uygun Değil,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Tavlusun Mahallesi,"775,000","kayseri anayurt mevki yatırıma uygun 1+1 topraktan 2024 10 ay teslim daireye ait örnek daire resim aynısı, Bina yatay proje, Daireler bağımsız daire sahibi oturabilir kiraya verebilir., İnşaat durumu 100 /40 bitmiş durumda yapım aşamasında"
13689441,05 Ağustos 2023,Satılık,125 M2,0 (Yeni),2,Boş,,Boş,2,05 Ağustos 2023,Konut,90 M2,3+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,,Genel Fiyat,Müstakil Ev,Kayseri - Develi - Feneseyukarı Mahallesi,"3,250,000",
13688574,05 Ağustos 2023,Satılık,90 M2,0 (Yeni),14,Boş,,Boş,1,05 Ağustos 2023,Konut,80 M2,2+0,6.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Ertuğrul Gazi Mahallesi,"1,375,000",
13692776,05 Ağustos 2023,Satılık,140 M2,5-10,10,Mülk Sahibi Oturuyor,İkinci El,,1,05 Ağustos 2023,Konut,120 M2,3+1,Düz Giriş (Zemin),Merkezi (Pay Ölçer),,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Demokrasi Mahallesi,"1,230,000",
13692430,05 Ağustos 2023,Satılık,240 M2,2,12,Boş,,Boş,2,05 Ağustos 2023,Konut,190 M2,4+1,2.Kat,Merkezi (Pay Ölçer),,Evet,Var,Genel Fiyat,Daire,Kayseri - Kocasinan - Yakut Mahallesi,"3,975,000",
13688395,05 Ağustos 2023,Satılık,155 M2,11-15,14,Kiracı Oturuyor,,Boş,1,05 Ağustos 2023,Konut,120 M2,3+1,7.Kat,Merkezi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,449,000",
13693149,06 Ağustos 2023,Satılık,70 M2,11-15,3,Boş,,,1,05 Ağustos 2023,Konut,65 M2,2+1,2.Kat,Merkezi (Pay Ölçer),Bilinmiyor,Hayır,,Birim Fiyat,Daire,Kayseri - Melikgazi - Demokrasi Mahallesi,"860,000",
13693241,05 Ağustos 2023,Satılık,175 M2,0 (Yeni),6,Boş,,,1,05 Ağustos 2023,Konut,145 M2,3+1,4.Kat,Kombi Doğalgaz,Bilinmiyor,Hayır,,Genel Fiyat,Daire,Kayseri - Kocasinan - Osmangazi Mahallesi,"1,775,000",
13693820,05 Ağustos 2023,Satılık,175 M2,16-20,11,Boş,,Boş,1,05 Ağustos 2023,Konut,145 M2,3+1,1.Kat,Merkezi Doğalgaz,,Evet,,Genel Fiyat,Daire,Kayseri - Melikgazi - Alpaslan Mahallesi,"1,850,000",
13694473,06 Ağustos 2023,Satılık,185 M2,4,13,Mülk Sahibi Oturuyor,,Boş,2,06 Ağustos 2023,Konut,145 M2,4+1,7.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"2,650,000",
13694321,06 Ağustos 2023,Satılık,140 M2,2,5,Kiracı Oturuyor,,Boş,1,05 Ağustos 2023,Konut,120 M2,3+1,1.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Kocasinan - Osmangazi Mahallesi,"1,350,000",
13693542,05 Ağustos 2023,Satılık,165 M2,0 (Yeni),10,Boş,,Boş,2,05 Ağustos 2023,Konut,120 M2,3+1,7.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Bahçelievler Mahallesi,"1,450,000",
13693989,05 Ağustos 2023,Satılık,220 M2,1,9,Kiracı Oturuyor,,Boş,2,05 Ağustos 2023,Konut,175 M2,4+1,4.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Yıldırım Beyazıt Mahallesi,"4,800,000",
13693534,05 Ağustos 2023,Satılık,255 M2,11-15,14,Boş,,,2,05 Ağustos 2023,Konut,220 M2,4+1,14.Kat,Merkezi Fueloil,,Hayır,,Birim Fiyat,Daire,Kayseri - Melikgazi - Gültepe Mahallesi,"4,185,000","-Gültepe Mahallesi'nde, -Merkezi, -Çevresinde okul,cami, market,eczane olan, -Acık kapalı otopark, -Merkezi sistem, -Masrafsiz, -Yaşamak istediğiniz ev sizleri bekliyor"
13678204,03 Ağustos 2023,Satılık,130 M2,5-10,6,Kiracı Oturuyor,İkinci El,Eşyalı,1,03 Ağustos 2023,Konut,112 M2,3+1,Çatı Katı,Merkezi Doğalgaz,,Evet,,Genel Fiyat,Daire,Kayseri - Melikgazi - Demokrasi Mahallesi,"1,180,000",
13678324,03 Ağustos 2023,Satılık,130 M2,0 (Yeni),14,Boş,,,1,03 Ağustos 2023,Konut,120 M2,2+1,1.Kat,Merkezi Doğalgaz,Bilinmiyor,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Gesi Fatih Mahallesi,"30,000",İLDEM BOŞ AVM HİSSESİ SATIN ALINACAKTIR
13694475,06 Ağustos 2023,Satılık,135 M2,11-15,14,Mülk Sahibi Oturuyor,,Boş,1,06 Ağustos 2023,Konut,110 M2,3+1,9.Kat,Merkezi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Mimarsinan Mahallesi,"1,075,000",
13678123,06 Ağustos 2023,Satılık,120 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,1,03 Ağustos 2023,Konut,100 M2,3+1,3.Kat,Kombi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Gesi Fatih Mahallesi,"1,080,000",
13679058,03 Ağustos 2023,Satılık,110 M2,5-10,11,Boş,,Boş,1,03 Ağustos 2023,Konut,95 M2,2+1,8.Kat,Kombi Doğalgaz,,Hayır,Var,Genel Fiyat,Daire,Kayseri - Melikgazi - Kazımkarabekir Mahallesi,"1,280,000",
13679253,03 Ağustos 2023,Satılık,125 M2,1,14,Kiracı Oturuyor,,Boş,2,03 Ağustos 2023,Konut,100 M2,2+1,10.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,580,000",
13679060,03 Ağustos 2023,Satılık,175 M2,0 (Yeni),14,Boş,,Boş,2,03 Ağustos 2023,Konut,135 M2,3+1,9.Kat,Merkezi (Pay Ölçer),,Hayır,Var,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,950,000",
13681789,04 Ağustos 2023,Satılık,155 M2,4,14,Kiracı Oturuyor,,,1,04 Ağustos 2023,Konut,125 M2,3+1,14.Kat,Merkezi (Pay Ölçer),,Hayır,,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,650,000",
13679155,03 Ağustos 2023,Satılık,165 M2,11-15,9,Boş,İkinci El,Boş,2,03 Ağustos 2023,Konut,145 M2,3+1,4.Kat,Merkezi Doğalgaz,,Evet,,Genel Fiyat,Daire,Kayseri - Melikgazi - İldem Cumhuriyet Mahallesi,"1,615,000",
13694225,05 Ağustos 2023,Satılık,175 M2,5-10,14,Kiracı Oturuyor,,,1,05 Ağustos 2023,Konut,150 M2,3+1,6.Kat,Merkezi Doğalgaz,,Hayır,Var,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"1,650,000",
13682124,04 Ağustos 2023,Satılık,195 M2,0 (Yeni),2,Boş,Yapım Aşamasında,,2,04 Ağustos 2023,Konut,165 M2,5+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"9,100,000",
13681947,05 Ağustos 2023,Satılık,304 M2,11-15,1,Kiracı Oturuyor,İkinci El,,1,04 Ağustos 2023,Konut,303 M2,2+1,,Sobalı,Krediye Uygun,Hayır,Var,Genel Fiyat,Müstakil Ev,Kayseri - Melikgazi - Fatih Mahallesi,"1,450,000",
13682003,05 Ağustos 2023,Satılık,280 M2,0 (Yeni),14,Boş,Sıfır,Boş,2,04 Ağustos 2023,Konut,240 M2,3+1,12.Kat,Merkezi (Pay Ölçer),,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Gültepe Mahallesi,"9,100,000",
13682139,04 Ağustos 2023,Satılık,195 M2,0 (Yeni),2,Boş,Yapım Aşamasında,,2,04 Ağustos 2023,Konut,165 M2,5+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"9,050,000",
13682172,04 Ağustos 2023,Satılık,195 M2,0 (Yeni),2,Boş,Yapım Aşamasında,,2,04 Ağustos 2023,Konut,165 M2,5+1,,Kombi Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,Villa,Kayseri - Melikgazi - Becen Mahallesi,"9,100,000",
13682529,05 Ağustos 2023,Satılık,175 M2,0 (Yeni),10,Boş,Sıfır,Boş,2,04 Ağustos 2023,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Melikgazi - Kılıçaslan Mahallesi,"2,580,000",
13690743,05 Ağustos 2023,Satılık,130 M2,21 Ve Üzeri,9,Kiracı Oturuyor,,,1,05 Ağustos 2023,Konut,110 M2,3+1,6.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Kocasinan - Beyazşehir Mahallesi,"1,360,000",
13683203,05 Ağustos 2023,Satılık,55 M2,0 (Yeni),2,Boş,,,1,04 Ağustos 2023,Konut,40 M2,1+1,1.Kat,Merkezi Doğalgaz,,Hayır,,Genel Fiyat,Daire,Kayseri - Talas - Mevlana Mahallesi,"965,000","TALAS MEVLANA MAHALLESİ CADDE ÜZERİNDE HARİKA KONUMLU, 2 KATLI BİNANIN 1.KATI, 1+1, BAĞIMSIZ APARTMAN DAİRESİ REZİDANS DEĞİLDİR., DETAYLI BİLGİ İÇİN ARAYINIZ"
13683230,04 Ağustos 2023,Satılık,165 M2,5-10,11,Mülk Sahibi Oturuyor,İkinci El,Boş,1,04 Ağustos 2023,Konut,130 M2,3+1,6.Kat,Kombi Doğalgaz,,Hayır,Yok,Genel Fiyat,Daire,Kayseri - Melikgazi - Gesi Mahallesi,"1,450,000",
