Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,Şehir,İlçe,Mahalle
60,8,9,0,3,0,0,0,45,1,1,6,1,1,950000,0,7,82
120,8,7,1,3,2,0,0,100,8,1,5,1,1,1230000,0,5,31
80,6,3,1,3,2,0,0,65,1,1,6,1,1,1095000,0,4,135
165,4,13,0,3,2,1,0,135,8,1,6,1,1,2185000,0,5,49
175,4,14,0,3,0,1,0,140,8,2,5,1,1,2500000,0,7,82
180,3,3,1,3,0,2,0,179,8,12,4,1,6,9500000,0,5,21
175,3,15,1,3,0,0,0,135,8,2,5,1,1,1170000,0,7,82
165,0,14,0,3,0,0,0,140,8,2,6,1,1,1500000,0,5,38
145,0,9,0,3,0,1,0,105,4,1,5,1,1,1450000,0,4,135
135,3,9,0,3,0,0,0,115,8,1,6,1,1,1280000,0,5,133
185,8,12,2,3,0,1,0,155,10,1,6,1,1,1950000,0,4,66
150,0,9,0,3,0,0,0,130,8,1,5,1,1,1900000,0,4,111
125,4,11,0,3,0,0,0,110,6,1,5,1,1,1649000,0,5,70
110,6,12,2,3,0,1,0,90,4,1,6,1,1,1250000,0,5,49
145,0,6,0,3,2,0,0,115,8,1,4,1,1,1800000,0,5,67
170,0,11,0,3,0,1,0,140,8,1,6,1,1,2350000,0,4,66
155,2,7,0,3,0,0,0,126,8,1,4,1,1,1950000,0,4,129
400,7,12,2,3,2,1,0,200,12,1,5,1,1,2750000,0,5,16
160,8,9,2,3,2,0,0,140,8,1,6,1,1,1395000,0,5,136
145,5,3,0,3,0,0,0,135,8,1,4,1,1,1350000,0,4,83
175,8,14,1,3,2,1,0,150,8,1,6,1,1,1950000,0,7,82
115,0,14,0,3,0,0,0,100,6,1,5,1,1,1700000,0,7,82
180,0,2,0,3,0,1,0,160,8,12,9,0,6,5500000,0,5,65
150,0,14,0,3,0,1,0,120,8,1,6,1,1,24000,0,5,49
165,0,14,0,3,2,1,0,150,8,1,5,1,1,2200000,0,5,49
717,5,1,0,3,0,0,0,716,8,12,8,1,4,2600000,0,4,120
645,5,1,0,3,2,0,0,640,1,6,8,1,1,945000,0,4,97
170,0,8,0,3,2,0,0,150,8,1,6,1,1,1585000,0,7,16
135,0,14,0,3,0,1,0,130,8,1,5,1,1,310000,0,5,121
175,7,14,0,3,0,0,0,145,8,1,5,1,1,2000000,0,7,82
180,8,12,2,3,0,1,0,140,8,1,4,0,1,2475000,0,5,48
375,0,2,0,3,0,2,0,220,14,12,4,0,6,5400000,0,3,32
140,2,14,1,3,0,0,0,120,8,2,5,1,1,1300000,0,7,82
250,0,2,0,3,0,3,0,214,20,12,9,0,6,9400000,0,5,39
187,7,11,0,3,0,1,0,150,8,1,5,0,1,1920000,0,5,133
165,0,9,0,3,0,1,0,130,8,1,5,1,1,1799000,0,4,135
175,2,4,0,2,2,1,0,160,12,1,4,1,1,1800000,0,1,92
120,3,15,0,2,2,0,0,100,8,1,5,1,1,1100000,0,7,82
280,2,13,0,3,0,1,0,250,20,2,6,1,1,6000000,0,5,5
180,2,10,0,3,0,0,0,160,10,1,6,0,1,3200000,0,5,124
165,3,3,1,3,0,0,0,135,8,1,4,1,1,1000000,0,4,93
165,1,7,0,3,0,1,0,135,8,1,4,1,1,1600000,0,5,136
175,1,9,0,3,0,1,0,140,8,1,5,0,1,1650000,0,5,40
200,0,2,0,3,0,2,0,150,10,12,4,1,6,7200000,0,5,7
150,3,9,0,2,0,0,0,120,8,1,6,1,1,1295000,0,5,49
180,7,14,0,3,2,1,0,150,8,1,5,1,1,1590000,0,5,133
110,0,4,0,0,0,0,0,90,4,9,5,1,1,1070000,0,5,83
165,8,12,0,3,2,1,0,135,8,1,5,1,1,2000000,0,5,67
