,İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,İlan Oluşturma Tarihi,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,House Price,House Location,Krediye Uygunluk,Yatırıma Uygunluk
129,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
130,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
131,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
132,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
133,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
134,13558068,13 Temmuz 2023,Satılık,150 M2,1,12,Mülk Sahibi Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.440.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
135,13554926,23 Temmuz 2023,Satılık,300 M2,21 Ve Üzeri,1,Kiracı Oturuyor,13 Temmuz 2023,Konut,165 M2,3.5+1,Müstakil.Kat,Sobalı,1.000.020TL,Kayseri - Kocasinan - Sancaktepe Mahallesi,,
136,13554363,13 Temmuz 2023,Satılık,175 M2,1,10,Boş,13 Temmuz 2023,Konut,138 M2,3+1,2.Kat,Merkezi (Pay Ölçer),1.755.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
137,13550322,25 Temmuz 2023,Satılık,190 M2,11-15,7,Boş,12 Temmuz 2023,Konut,160 M2,4+1,5.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Sahabiye Mahallesi,,
138,13549712,29 Temmuz 2023,Satılık,165 M2,0 (Yeni),10,Boş,12 Temmuz 2023,Konut,125 M2,3+1,8.Kat,Merkezi (Pay Ölçer),2.050.000TL,Kayseri - Kocasinan - Mithatpaşa Mahallesi,Krediye Uygun Değil,
139,13549606,29 Temmuz 2023,Satılık,165 M2,5-10,8,Mülk Sahibi Oturuyor,12 Temmuz 2023,Konut,140 M2,3+1,8.Kat,Merkezi (Pay Ölçer),1.675.000TL,Kayseri - Kocasinan - Argıncık Mahallesi,,
140,13447830,19 Haziran 2023,Satılık,100 M2,0 (Yeni),10,Boş,19 Haziran 2023,Konut,85 M2,2+1,9.Kat,Merkezi Doğalgaz,300.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Krediye Uygun Değil,
141,13446170,19 Haziran 2023,Satılık,170 M2,0 (Yeni),10,Boş,19 Haziran 2023,Konut,135 M2,3+1,1.Kat,Merkezi Doğalgaz,1.800.000TL,Kayseri - Kocasinan - Zümrüt Mahallesi,,
142,13446023,19 Haziran 2023,Satılık,210 M2,0 (Yeni),12,Boş,19 Haziran 2023,Konut,190 M2,4+1,4.Kat,Merkezi (Pay Ölçer),2.500.000TL,Kayseri - Kocasinan - Yakut Mahallesi,,
143,13445766,04 Temmuz 2023,Satılık,135 M2,0 (Yeni),8,Boş,19 Haziran 2023,Konut,110 M2,3+1,1.Kat,Kombi Doğalgaz,1.850.000TL,Kayseri - Kocasinan - Yavuzlar Mahallesi,,
144,13444508,26 Temmuz 2023,Satılık,150 M2,11-15,12,Boş,19 Haziran 2023,Konut,120 M2,3+1,9.Kat,Merkezi Doğalgaz,1.450.000TL,Kayseri - Kocasinan - Barbaros Mahallesi,,
145,13441294,18 Haziran 2023,Satılık,210 M2,0 (Yeni),14,Boş,18 Haziran 2023,Konut,153 M2,4+1,2.Kat,Merkezi (Pay Ölçer),3.699.000TL,Kayseri - Kocasinan - Yakut Mahallesi,,
146,13438726,27 Temmuz 2023,Satılık,185 M2,0 (Yeni),10,Boş,18 Haziran 2023,Konut,140 M2,3+2,2.Kat,Merkezi (Pay Ölçer),2.090.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
147,13434359,08 Temmuz 2023,Satılık,175 M2,0 (Yeni),7,Boş,17 Haziran 2023,Konut,145 M2,3+1,6.Kat,Merkezi Doğalgaz,1.850.000TL,Kayseri - Kocasinan - Uğurevler Mahallesi,,
148,13433303,27 Temmuz 2023,Satılık,145 M2,0 (Yeni),12,Boş,17 Haziran 2023,Konut,125 M2,3+1,6.Kat,Merkezi (Pay Ölçer),415.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,Krediye Uygun Değil,
149,13568576,29 Temmuz 2023,Satılık,200 M2,1,13,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,180 M2,3+1,13.Kat,Merkezi Doğalgaz,2.100.000TL,Kayseri - Kocasinan - Hoca Ahmet Yesevi Mahallesi,,
150,13567861,15 Temmuz 2023,Satılık,165 M2,5-10,10,Mülk Sahibi Oturuyor,15 Temmuz 2023,Konut,125 M2,3+1,4.Kat,Merkezi Doğalgaz,1.580.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
151,13561560,24 Temmuz 2023,Satılık,165 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,150 M2,3+1,Bahçe Katı,Sobalı,1.725.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
152,13561470,17 Temmuz 2023,Satılık,165 M2,4,12,Mülk Sahibi Oturuyor,14 Temmuz 2023,Konut,135 M2,3+1,5.Kat,Merkezi Doğalgaz,1.650.000TLarrow_downward%90,Kayseri - Kocasinan - Erkilet Mahallesi,,
153,13561352,14 Temmuz 2023,Satılık,645 M2,21 Ve Üzeri,1,Boş,14 Temmuz 2023,Konut,640 M2,1+1,Düz Giriş,Sobalı,945.000TL,Kayseri - Kocasinan - Saraycık Mahallesi,Krediye Uygun Değil,
154,13559948,18 Temmuz 2023,Satılık,150 M2,5-10,9,Kiracı Oturuyor,13 Temmuz 2023,Konut,130 M2,3+1,8.Kat,Merkezi Doğalgaz,1.350.000TL,Kayseri - Kocasinan - Ahi Evran Mahallesi,,
155,13559559,25 Temmuz 2023,Satılık,125 M2,1,14,Boş,13 Temmuz 2023,Konut,100 M2,2.5+1,8.Kat,Merkezi (Pay Ölçer),1.750.000TL,Kayseri - Kocasinan - Ziyagökalp Mahallesi,Bilinmiyor,
156,13559042,24 Temmuz 2023,Satılık,185 M2,2,14,Boş,13 Temmuz 2023,Konut,145 M2,3.5+1,7.Kat,Merkezi (Pay Ölçer),2.295.000TL,Kayseri - Kocasinan - Beyazşehir Mahallesi,,
