Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yapı Durumu,Eşya Durumu,Banyo Sayısı,Türü,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Site İçerisinde,Kategori,Fiyat,İlan Açıklaması,Şehir,İlçe,Mahalle
145,16-20,10,Boş,İkinci El,Boş,1,Konut,130,3+1,3.Kat,Merkezi Doğalgaz,Hayır,Daire,1245000,"TINAZTEPE MAHALLESİNDE TINAZTEPE TRAMWAY DURAĞINDA 130M2 MERKEZİ SİSTEM 3.KAT DAİRE KÜRSÜEMLAKOFİSİ GÜVENCESİ İLE SATILIKTIR🏠, AYRINTILI BİLGİ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ., ☎️, ☎️, KürsüEmlakOfisi, GüveneAtılanİmza✍️, O F İ S :, BelsinKürsüTramvayDurağı, PTT Arkası",Kayseri,Melikgazi,Tınaztepe Mahallesi
165,3,10,Boş,İkinci El,,1,Konut,130,3+1,6.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1720000,,Kayseri,Melikgazi,Sakarya Mahallesi
165,5-10,12,Kiracı Oturuyor,,,2,Konut,120,3+1,4.Kat,Merkezi (Pay Ölçer),Evet,Daire,1490000,,Kayseri,Kocasinan,Beyazşehir Mahallesi
165,4,12,Kiracı Oturuyor,,,2,Konut,130,3+1,2.Kat,Merkezi (Pay Ölçer),Evet,Daire,1525000,,Kayseri,Kocasinan,Beyazşehir Mahallesi
155,11-15,14,Boş,,,1,Konut,135,3+1,7.Kat,Merkezi Doğalgaz,Hayır,Daire,1425000,,Kayseri,Talas,Mevlana Mahallesi
100,5-10,4,Kiracı Oturuyor,İkinci El,,1,Konut,90,2+1,1.Kat,Merkezi Doğalgaz,Hayır,Daire,1100000,,Kayseri,Yeşilhisar,Yavuz Selim Mahallesi
250,0 (Yeni),2,Boş,,Boş,4,Konut,220,5+1,,Yerden Isıtma,Hayır,Villa,12250000,,Kayseri,Talas,Tablakaya Mahallesi
300,0 (Yeni),2,Boş,Sıfır,,4,Konut,258,4.5+1,Villa Tipi,Kombi Doğalgaz,Hayır,Daire,10500000,,Kayseri,Talas,Reşadiye Mahallesi
130,0 (Yeni),5,Boş,,,1,Konut,100,2+1,Kot 2 (-2).Kat,Merkezi Doğalgaz,Hayır,Daire,1450000,"HÜRRİYET MAHALLESİ BEŞYOL MEVKİİNDE  ÖNER CORNER PROJESİNDE SATILIK DAİRE  *MERKEZE 5 DK MESAFEDE ; 2+1 GENİŞ OTURUMLU  *OKUL,MARKET, ALIŞVERİŞ MERKEZİNE YAKIN  *BİREYSEL KOMBİLİ  *ULAŞIMI KOLAY  *SENE SONU TESLİM FIRSAT DAİRESİ SATIŞA SUNULMUŞTUR  *DETAYLI BİLGİ İÇİN İLETİŞİME GEÇELİM .         SU TOPRAĞA HAYAT, GAYRİMENKUL İNSANA ÖZGÜR BİR YAŞAM ALANI VADEDER...  GAYRİMENKUL SATIN ALMAYI ZOR DEĞİL EĞLENCELİ BİR İŞ HALİNE GETİRİYORUZ  EMLAK YATIRIMLARINIZDA GÜVENİLİR DANIŞMANINIZ   İLGİLİ DANIŞMAN   YUSUF TOPCU [",Kayseri,Melikgazi,Hürriyet Mahallesi
120,21 Ve Üzeri,2,Kiracı Oturuyor,,Boş,1,Konut,100,3+1,,Sobalı,Hayır,Müstakil Ev,1550000,,Kayseri,Melikgazi,Yeniköy Mahallesi
650,0 (Yeni),2,Boş,,Boş,3,Konut,260,3+1,,Kombi Doğalgaz,Hayır,Villa,4250000,,Kayseri,Kocasinan,Gömeç Mahallesi
160,5-10,12,Mülk Sahibi Oturuyor,,,2,Konut,125,3+1,5.Kat,Merkezi Doğalgaz,Hayır,Daire,1450000,İLDEM FATİH MH. İLDEM C KONUTLARI 5.KAT KUZEY BATI CEPHE 3+1 150M2 EBEVEYN BANYOLU  TAPULU KREDİYE UYGUN,Kayseri,Melikgazi,Gesi Fatih Mahallesi
95,0 (Yeni),9,Boş,,,1,Konut,80,1+1,3.Kat,Merkezi Doğalgaz,Hayır,Daire,775000,"kayseri anayurt mevki yatırıma uygun 1+1 topraktan 2024 10 ay teslim daireye ait örnek daire resim aynısı, Bina yatay proje, Daireler bağımsız daire sahibi oturabilir kiraya verebilir., İnşaat durumu 100 /40 bitmiş durumda yapım aşamasında",Kayseri,Melikgazi,Tavlusun Mahallesi
125,0 (Yeni),2,Boş,,Boş,2,Konut,90,3+1,,Kombi Doğalgaz,Hayır,Müstakil Ev,3250000,,Kayseri,Develi,Feneseyukarı Mahallesi
90,0 (Yeni),14,Boş,,Boş,1,Konut,80,2+0,6.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1375000,,Kayseri,Kocasinan,Ertuğrul Gazi Mahallesi
140,5-10,10,Mülk Sahibi Oturuyor,İkinci El,,1,Konut,120,3+1,Düz Giriş (Zemin),Merkezi (Pay Ölçer),Hayır,Daire,1230000,,Kayseri,Melikgazi,Demokrasi Mahallesi
240,2,12,Boş,,Boş,2,Konut,190,4+1,2.Kat,Merkezi (Pay Ölçer),Evet,Daire,3975000,,Kayseri,Kocasinan,Yakut Mahallesi
155,11-15,14,Kiracı Oturuyor,,Boş,1,Konut,120,3+1,7.Kat,Merkezi Doğalgaz,Hayır,Daire,1449000,,Kayseri,Talas,Mevlana Mahallesi
70,11-15,3,Boş,,,1,Konut,65,2+1,2.Kat,Merkezi (Pay Ölçer),Hayır,Daire,860000,,Kayseri,Melikgazi,Demokrasi Mahallesi
175,0 (Yeni),6,Boş,,,1,Konut,145,3+1,4.Kat,Kombi Doğalgaz,Hayır,Daire,1775000,,Kayseri,Kocasinan,Osmangazi Mahallesi
175,16-20,11,Boş,,Boş,1,Konut,145,3+1,1.Kat,Merkezi Doğalgaz,Evet,Daire,1850000,,Kayseri,Melikgazi,Alpaslan Mahallesi
185,4,13,Mülk Sahibi Oturuyor,,Boş,2,Konut,145,4+1,7.Kat,Merkezi (Pay Ölçer),Hayır,Daire,2650000,,Kayseri,Talas,Mevlana Mahallesi
140,2,5,Kiracı Oturuyor,,Boş,1,Konut,120,3+1,1.Kat,Kombi Doğalgaz,Hayır,Daire,1350000,,Kayseri,Kocasinan,Osmangazi Mahallesi
165,0 (Yeni),10,Boş,,Boş,2,Konut,120,3+1,7.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1450000,,Kayseri,Melikgazi,Bahçelievler Mahallesi
220,1,9,Kiracı Oturuyor,,Boş,2,Konut,175,4+1,4.Kat,Merkezi (Pay Ölçer),Hayır,Daire,4800000,,Kayseri,Melikgazi,Yıldırım Beyazıt Mahallesi
255,11-15,14,Boş,,,2,Konut,220,4+1,14.Kat,Merkezi Fueloil,Hayır,Daire,4185000,"-Gültepe Mahallesi'nde, -Merkezi, -Çevresinde okul,cami, market,eczane olan, -Acık kapalı otopark, -Merkezi sistem, -Masrafsiz, -Yaşamak istediğiniz ev sizleri bekliyor",Kayseri,Melikgazi,Gültepe Mahallesi
130,5-10,6,Kiracı Oturuyor,İkinci El,Eşyalı,1,Konut,112,3+1,Çatı Katı,Merkezi Doğalgaz,Evet,Daire,1180000,,Kayseri,Melikgazi,Demokrasi Mahallesi
130,0 (Yeni),14,Boş,,,1,Konut,120,2+1,1.Kat,Merkezi Doğalgaz,Hayır,Daire,30000,İLDEM BOŞ AVM HİSSESİ SATIN ALINACAKTIR,Kayseri,Melikgazi,Gesi Fatih Mahallesi
135,11-15,14,Mülk Sahibi Oturuyor,,Boş,1,Konut,110,3+1,9.Kat,Merkezi Doğalgaz,Hayır,Daire,1075000,,Kayseri,Melikgazi,Mimarsinan Mahallesi
120,21 Ve Üzeri,4,Kiracı Oturuyor,,,1,Konut,100,3+1,3.Kat,Kombi Doğalgaz,Hayır,Daire,1080000,,Kayseri,Melikgazi,Gesi Fatih Mahallesi
110,5-10,11,Boş,,Boş,1,Konut,95,2+1,8.Kat,Kombi Doğalgaz,Hayır,Daire,1280000,,Kayseri,Melikgazi,Kazımkarabekir Mahallesi
125,1,14,Kiracı Oturuyor,,Boş,2,Konut,100,2+1,10.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1580000,,Kayseri,Talas,Mevlana Mahallesi
175,0 (Yeni),14,Boş,,Boş,2,Konut,135,3+1,9.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1950000,,Kayseri,Talas,Mevlana Mahallesi
155,4,14,Kiracı Oturuyor,,,1,Konut,125,3+1,14.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1650000,,Kayseri,Talas,Mevlana Mahallesi
165,11-15,9,Boş,İkinci El,Boş,2,Konut,145,3+1,4.Kat,Merkezi Doğalgaz,Evet,Daire,1615000,,Kayseri,Melikgazi,İldem Cumhuriyet Mahallesi
175,5-10,14,Kiracı Oturuyor,,,1,Konut,150,3+1,6.Kat,Merkezi Doğalgaz,Hayır,Daire,1650000,,Kayseri,Talas,Mevlana Mahallesi
195,0 (Yeni),2,Boş,Yapım Aşamasında,,2,Konut,165,5+1,,Kombi Doğalgaz,Hayır,Villa,9100000,,Kayseri,Melikgazi,Becen Mahallesi
304,11-15,1,Kiracı Oturuyor,İkinci El,,1,Konut,303,2+1,,Sobalı,Hayır,Müstakil Ev,1450000,,Kayseri,Melikgazi,Fatih Mahallesi
280,0 (Yeni),14,Boş,Sıfır,Boş,2,Konut,240,3+1,12.Kat,Merkezi (Pay Ölçer),Hayır,Daire,9100000,,Kayseri,Melikgazi,Gültepe Mahallesi
195,0 (Yeni),2,Boş,Yapım Aşamasında,,2,Konut,165,5+1,,Kombi Doğalgaz,Hayır,Villa,9050000,,Kayseri,Melikgazi,Becen Mahallesi
195,0 (Yeni),2,Boş,Yapım Aşamasında,,2,Konut,165,5+1,,Kombi Doğalgaz,Hayır,Villa,9100000,,Kayseri,Melikgazi,Becen Mahallesi
175,0 (Yeni),10,Boş,Sıfır,Boş,2,Konut,140,3+1,4.Kat,Merkezi Doğalgaz,Hayır,Daire,2580000,,Kayseri,Melikgazi,Kılıçaslan Mahallesi
130,21 Ve Üzeri,9,Kiracı Oturuyor,,,1,Konut,110,3+1,6.Kat,Merkezi Doğalgaz,Hayır,Daire,1360000,,Kayseri,Kocasinan,Beyazşehir Mahallesi
55,0 (Yeni),2,Boş,,,1,Konut,40,1+1,1.Kat,Merkezi Doğalgaz,Hayır,Daire,965000,"TALAS MEVLANA MAHALLESİ CADDE ÜZERİNDE HARİKA KONUMLU, 2 KATLI BİNANIN 1.KATI, 1+1, BAĞIMSIZ APARTMAN DAİRESİ REZİDANS DEĞİLDİR., DETAYLI BİLGİ İÇİN ARAYINIZ",Kayseri,Talas,Mevlana Mahallesi
165,5-10,11,Mülk Sahibi Oturuyor,İkinci El,Boş,1,Konut,130,3+1,6.Kat,Kombi Doğalgaz,Hayır,Daire,1450000,,Kayseri,Melikgazi,Gesi Mahallesi
165,11-15,8,Boş,,,1,Konut,135,3+1,8.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1575000,"TALAS BAHÇELİEVLER MH., ANA CADDE ÜZERİNDE, GÜNLÜK TÜM İHİTİYAÇLARA YÜRÜME MESAFESİNDE​, 3+1 170 M2 - 3 ADET BALKON VARDIR, 8/8.KAT GÜNEY-KUZEY-DOĞU CEPHE, İÇİ SIFIRDAN BAŞTAN AŞAĞI ÖZENLE YAPILMIŞTIR, KULLANILAN MALZEMELER 1. SINIF İŞÇİLİKLE YAPILMIŞTIR, LOKASYON OLARAK MÜKEMMEL KONUMA SAHİPTİR, MESKENLİ, DETAYLI BİLGİ İÇİN LÜTFEN ARAYINIZ",Kayseri,Talas,Bahçelievler Mahallesi
95,0 (Yeni),6,Boş,Sıfır,Boş,2,Konut,75,2+1,3.Kat,Merkezi (Pay Ölçer),Hayır,Daire,1390000,TALAS KİÇİKÖY de şahane lokasyona sahip olan dairelerimiz her kesime uygun önü açık ferah olup diğer 2+1 dairelerden farklı mimarisi ile dikkat çekmektedir . Detaylı bilgi için lütfen iletişime geçiniz.,Kayseri,Talas,Kiçiköy Mahallesi
60,5-10,9,Boş,,Boş,1,Konut,45,1+1,5.Kat,Merkezi Doğalgaz,Hayır,Daire,975000,,Kayseri,Talas,Mevlana Mahallesi
175,3,11,Boş,,,2,Konut,140,3+1,5.Kat,Merkezi Doğalgaz,Hayır,Daire,1850000,,Kayseri,Melikgazi,Yeşilyurt Mahallesi
155,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,Boş,1,Konut,140,3+1,2.Kat,Isıtma Yok,Hayır,Daire,920000,,Kayseri,Melikgazi,Gülük Mahallesi
